label,title,content
1,Great,"This was a great children's book. Good book for young children, and children up to preteen . Good for them to read by them selves or to be read to them."
0,waste of money,"i bought these b/c my kids have both had febrile seizures and i am paranoid about fevers. so last week my 1 year old was sick and i put these stickers on both kids and each kid registered around 97 degrees for the 2 days straight. i know b/c i was doing rectal temps too that my son's reached over 101 at one point and these things never reflected a fever. not only a waste of money but i thnk these are SCARY b/c had i relied on them i never would have treated the fevers and they might have had more seizures. this product says on side ""hospital grade"" but i find this impossible to believe. i am going to try to get a refund b/c this product was so HORRIBLE."
0,Hmmm,"To me this is kind of a 'duh' book. Of course marketing targets our kids, and of course if greatly influences them. Nothing new. But if it opens people's eyes that did not yet realize this, and especially if it changes their attitudes towards children and television/videos...then great-- it should be read."
0,Review from the Synthesis,"The second album from grunge-era supergroup Audioslave plays out more like a boring `90s alt-rock mixtape than anything else. It's sad that a talented band like Rage Against the Machine has to play second fiddle to Chris Cornell's ridiculous growls and Jesus Christ posing. Honestly, it sounds like Tom Morello isn't even trying anymore as he strums his guitar, rewrites his past riffs and dicks around on his diverse collection of effects pedals. These guys have just done it so many times over again, it's now become unwelcome nostalgia. They prove this with the album's first radio-ready single, ""Be Yourself."" C'mon, it sounds like Cornell is taking songwriting lessons from Raffi as he sings ""be yourself is all that you can do."" Sorry, it's not going to work this time around.- Nick WalkerSynthesis.net"
1,Fantastic hit for New Years,This is by far one of the best singles of the year. I first heard the it in September and I've been listening to it ever since. The lyrics are very uplifting and in her brilliant style Whitney hits every note crisply and perfectly. The only negative I would say about this version of the single is it doesn't have the longer club mixes on it. The maxi-single has a 12+ minute club version of the Jonathan Peter's mix and the Thunderpuss 2000 mix on it. But even this version is still well worth buying. This is a perfect song to help you celebrate the new millennium this New Years so make it into your millennium theme!
1,Superb,"I needed a book for my vacation this past week, and I picked the perfect one. This book is perfectly written by Dave Eggers and brings the story of Valentino Achak Deng - one of the ""Lost Boys of Sudan."" From seven years old until the recent past you follow his journey from his war torn country to his life in a refugee camp, ultimately ending with his relocation into Atlanta.This book blew me away. The first person account of what it was like for these boys who avoided armies, lions, famine and more to make it across the border of Sudan to Ethiopia and then eventually to Kenya. This book opened my eyes up in many ways to the plight of refugees around the world. Fantastic book. JVD"
0,Breadman Ultimate Plus basket issues,"Breadman TR2500BC Ultimate Plus 2-Pound Stainless-Steel Convection BreadmakerBreadman Ultimate Plus is a good machine; however, after having mine for only two years, the basket broke while making jam. That wouldn't be so bad if it weren't for the fact that I now have jam all through the inside of my Breadman. The mechanism on which the paddle sits simply came apart in the middle of the jam cycle. Now I have no bread machine. This is disappointing since the machine itself was fine before the basket broke."
0,Not very realistic,"We would have a problem applying some of the heavy techniques in this book for our moderately out-of-control kids. I think this is a good book for those with seriously out of control teenagers. However for both the serious and less serious cases, some of the recommendations in the book are just too unrealistic, and a little repetitive."
1,Great home workout equipment,Easy to use. Comes with DVDs and a list of exercises which were very helpful. Great addition to my home gym!
1,Tales Have Good Surprise Endings,"I ended up liking this DVD because each story have a surprise ending that makes the story satisfying and suspense along the way was worth it. Victoria Principal looks fabulous, for someone not in her 20s or 30s (though I don't know how old she's here), and I had hoped to see some nudity but there wasn't any. But she did pretty good being leading role in each tale."
