model,prefix,method,prompt_level,train,test,accuracy,std,cons_loss,layer,location,loss,sim_loss
roberta-large-mnli,normal,CCS,all,all,imdb,0.5146153846153847,0.014204757932784145,0.10616104229002572,-9.0,encoder,0.16111957700974525,0.054958534719719496
roberta-large-mnli,normal,CCS,all,all,amazon-polarity,0.5354545454545454,0.019937920181328457,0.11673725147575566,-9.0,encoder,0.17912203354170989,0.062384782065954276
roberta-large-mnli,normal,CCS,all,all,ag-news,0.5265625,0.020384487821625538,0.13924459513361181,-9.0,encoder,0.2161461656269125,0.0769015704933007
roberta-large-mnli,normal,CCS,all,all,dbpedia-14,0.5237499999999999,0.014895469109766244,0.11400223781066737,-9.0,encoder,0.18086526039434223,0.06686302258367487
roberta-large-mnli,normal,CCS,all,imdb,imdb,0.5101923076923076,0.007749785261388421,0.07241593293602334,-9.0,encoder,0.17977291209996252,0.10735697916393921
roberta-large-mnli,normal,CCS,all,imdb,amazon-polarity,0.5343181818181818,0.02014410891469122,0.12337608143800499,-9.0,encoder,0.34477269926394566,0.22139661782594064
roberta-large-mnli,normal,CCS,all,imdb,ag-news,0.5540625,0.03828220662070043,0.27767900052703104,-9.0,encoder,0.7309166717175541,0.4532376711905232
roberta-large-mnli,normal,CCS,all,imdb,dbpedia-14,0.5246875,0.021594179626695725,0.2666858716272229,-9.0,encoder,0.7263116435422258,0.459625771915003
roberta-large-mnli,normal,CCS,all,amazon-polarity,imdb,0.5144230769230769,0.009258771628623656,0.12903542579383223,-9.0,encoder,0.340759981688655,0.21172455589482275
roberta-large-mnli,normal,CCS,all,amazon-polarity,amazon-polarity,0.5402272727272728,0.01451701765697392,0.08609300498839777,-9.0,encoder,0.2206351200785611,0.13454211509016334
roberta-large-mnli,normal,CCS,all,amazon-polarity,ag-news,0.54375,0.017544586059522742,0.30978699516695485,-9.0,encoder,0.7359140879125831,0.42612709274562827
roberta-large-mnli,normal,CCS,all,amazon-polarity,dbpedia-14,0.531875,0.02390573937363161,0.2788397083615026,-9.0,encoder,0.6583048908958785,0.37946518253437594
roberta-large-mnli,normal,CCS,all,ag-news,imdb,0.5536538461538462,0.03067533751013908,0.2306063792225406,-9.0,encoder,0.5399187962500638,0.3093124170275232
roberta-large-mnli,normal,CCS,all,ag-news,amazon-polarity,0.5386363636363637,0.027744033682193334,0.23843609305289626,-9.0,encoder,0.5127681794089912,0.2743320863560949
roberta-large-mnli,normal,CCS,all,ag-news,ag-news,0.5184375,0.010150238605569812,0.12756905809229513,-9.0,encoder,0.2945289288253866,0.16695987073309151
roberta-large-mnli,normal,CCS,all,ag-news,dbpedia-14,0.5190625,0.01499674443837729,0.13184220895462198,-9.0,encoder,0.34897666947421835,0.2171344605195964
roberta-large-mnli,normal,CCS,all,dbpedia-14,imdb,0.5646153846153846,0.03933150716183275,0.3290190686742192,-9.0,encoder,0.8372351026754897,0.5082160340012706
roberta-large-mnli,normal,CCS,all,dbpedia-14,amazon-polarity,0.5293181818181818,0.021874926210029018,0.27155164824722483,-9.0,encoder,0.6993867312027312,0.4278350829555065
roberta-large-mnli,normal,CCS,all,dbpedia-14,ag-news,0.5240624999999999,0.01328400706677019,0.20778828279119488,-9.0,encoder,0.5879665298835756,0.3801782470923808
roberta-large-mnli,normal,CCS,all,dbpedia-14,dbpedia-14,0.5203125,0.018851288914819606,0.08097276845045122,-9.0,encoder,0.24229751384609988,0.16132474539564862
roberta-large-mnli,normal,LR,all,all,imdb,0.8280769230769232,0.030636733955427136,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,all,amazon-polarity,0.7909090909090909,0.10864492168649423,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,all,ag-news,0.8565625,0.034571879378332906,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,all,dbpedia-14,0.9209375,0.0270687059858797,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,imdb,imdb,0.8686538461538462,0.033735614948839025,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,imdb,amazon-polarity,0.735909090909091,0.15187192842862074,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,imdb,ag-news,0.5525,0.039210967853395305,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,imdb,dbpedia-14,0.5609375,0.04117298682085136,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,amazon-polarity,imdb,0.7386538461538461,0.12288837721460019,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,amazon-polarity,amazon-polarity,0.8459090909090908,0.060229416771442335,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,amazon-polarity,ag-news,0.47125,0.029527529527544286,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,amazon-polarity,dbpedia-14,0.4625,0.015811388300841892,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,ag-news,imdb,0.49326923076923074,0.02460035598914982,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,ag-news,amazon-polarity,0.48227272727272724,0.05148316743291559,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,ag-news,ag-news,0.8928125,0.019503104720787402,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,ag-news,dbpedia-14,0.8721875,0.042397624859772526,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,dbpedia-14,imdb,0.5561538461538461,0.045400095143658614,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,dbpedia-14,amazon-polarity,0.5093181818181818,0.0670658674626102,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,dbpedia-14,ag-news,0.80875,0.03789376597806031,,-9.0,encoder,,
roberta-large-mnli,normal,LR,all,dbpedia-14,dbpedia-14,0.953125,0.01963534759050627,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,all,imdb,0.5446153846153845,0.039160004049537116,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,all,amazon-polarity,0.5359090909090909,0.024150868779609504,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,all,ag-news,0.5165625,0.00892131401476264,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,all,dbpedia-14,0.5231250000000001,0.0130354085091339,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,imdb,imdb,0.536923076923077,0.020384615384615386,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,imdb,amazon-polarity,0.5345454545454545,0.020332972042131862,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,imdb,ag-news,0.5371874999999999,0.021339425806473807,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,imdb,dbpedia-14,0.54125,0.029764702249476655,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,amazon-polarity,imdb,0.545576923076923,0.027910465471579608,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,amazon-polarity,amazon-polarity,0.5536363636363637,0.04640929124700773,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,amazon-polarity,ag-news,0.5365625,0.02253252856982546,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,amazon-polarity,dbpedia-14,0.534375,0.027120967442183914,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,ag-news,imdb,0.5480769230769231,0.04462615917643188,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,ag-news,amazon-polarity,0.535,0.025561867907277262,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,ag-news,ag-news,0.5246875,0.012896068926227099,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,ag-news,dbpedia-14,0.5231250000000001,0.0202233621092043,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,dbpedia-14,imdb,0.5246153846153846,0.035298809004834224,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,dbpedia-14,amazon-polarity,0.5404545454545455,0.020416631528614296,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,dbpedia-14,ag-news,0.559375,0.0390462466185932,,-9.0,encoder,,
roberta-large-mnli,normal,Random,all,dbpedia-14,dbpedia-14,0.600625,0.07549575733112424,,-9.0,encoder,,
roberta-large-mnli,normal,CCS-md,all,all,imdb,0.5282692307692307,0.01959652185054923,0.384530550640642,-9.0,encoder,1.283578792533981,0.8990482418933387
roberta-large-mnli,normal,CCS-md,all,all,amazon-polarity,0.5515909090909091,0.02973887735685868,0.5267651718946406,-9.0,encoder,1.477982301041138,0.9512171291464973
roberta-large-mnli,normal,CCS-md,all,all,ag-news,0.528125,0.016237976320958226,0.40172956017346384,-9.0,encoder,1.2394720816181812,0.8377425214447173
roberta-large-mnli,normal,CCS-md,all,all,dbpedia-14,0.5128125,0.011349387373334283,0.3976544115509489,-9.0,encoder,1.1924812224825585,0.7948268109316093
roberta-large-mnli,normal,CCS-md,all,imdb,imdb,0.5165384615384615,0.009929485110327381,0.49677034416753696,-9.0,encoder,1.3914728274207453,0.8947024832532079
roberta-large-mnli,normal,CCS-md,all,imdb,amazon-polarity,0.5295454545454547,0.022432175091569768,0.41804402839858174,-9.0,encoder,1.346497354149773,0.928453325751191
roberta-large-mnli,normal,CCS-md,all,imdb,ag-news,0.524375,0.016665364532466746,0.46282830310501144,-9.0,encoder,1.2854173662271282,0.8225890631221169
roberta-large-mnli,normal,CCS-md,all,imdb,dbpedia-14,0.52,0.017184658856084403,0.42180528649253785,-9.0,encoder,1.2329796780692384,0.8111743915767006
roberta-large-mnli,normal,CCS-md,all,amazon-polarity,imdb,0.5244230769230769,0.017654642180813095,0.3903902121992247,-9.0,encoder,1.2510714385520805,0.8606812263528556
roberta-large-mnli,normal,CCS-md,all,amazon-polarity,amazon-polarity,0.5313636363636364,0.018289454126118848,0.5192339449607015,-9.0,encoder,1.466602812600974,0.9473688676402724
roberta-large-mnli,normal,CCS-md,all,amazon-polarity,ag-news,0.521875,0.016333917931714986,0.4303569524175537,-9.0,encoder,1.3082376950577805,0.8778807426402271
roberta-large-mnli,normal,CCS-md,all,amazon-polarity,dbpedia-14,0.5225,0.015206906325745532,0.4662764978924418,-9.0,encoder,1.349824323795413,0.8835478259029715
roberta-large-mnli,normal,CCS-md,all,ag-news,imdb,0.5184615384615384,0.014228170240841463,0.3293921300717964,-9.0,encoder,0.8436969054801319,0.5143047754083354
roberta-large-mnli,normal,CCS-md,all,ag-news,amazon-polarity,0.5368181818181817,0.020087617994531223,0.3457070623753577,-9.0,encoder,0.8986475076550039,0.5529404452796461
roberta-large-mnli,normal,CCS-md,all,ag-news,ag-news,0.5340625000000001,0.03356284916019496,0.31960718773970015,-9.0,encoder,0.8694879815676727,0.5498807938279725
roberta-large-mnli,normal,CCS-md,all,ag-news,dbpedia-14,0.5125000000000001,0.012247448713915888,0.2391742070620257,-9.0,encoder,0.7110397566487272,0.4718655495867016
roberta-large-mnli,normal,CCS-md,all,dbpedia-14,imdb,0.5317307692307692,0.023765371855039085,0.37168814019463803,-9.0,encoder,1.042646589529882,0.670958449335244
roberta-large-mnli,normal,CCS-md,all,dbpedia-14,amazon-polarity,0.5288636363636363,0.013158286205572849,0.36291725090348825,-9.0,encoder,0.9991151564653397,0.6361979055618516
roberta-large-mnli,normal,CCS-md,all,dbpedia-14,ag-news,0.5165625,0.009757809372497518,0.34150363044572746,-9.0,encoder,0.9897544612106548,0.6482508307649273
roberta-large-mnli,normal,CCS-md,all,dbpedia-14,dbpedia-14,0.514375,0.01130196332501572,0.32389285044388366,-9.0,encoder,0.9968477674939549,0.6729549170500713
roberta-large-mnli,normal,LR-md,all,all,imdb,0.47788461538461535,0.016107993531824547,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,all,amazon-polarity,0.4627272727272728,0.0007186994682200868,,-9.0,encoder,,
