null,0,1,label,selection
"I just managed to find a copy of ""Mission Cleopatra,"" which is not as easy as you would think for someone living in the United States. So far, I have only watched about the first 10 minutes of the film, and I can safely say that I laughed more in those 10 minutes than I did watching the entirety of the *first* live action Asterix movie.<br /><br />I am watching the dubbed version, and while the dubbing job is a little disconcerting, I have found the movie to be very funny and true to the book. I see that people on here have said that the dubbed version is very inferior to the subtitled version, that may very well be true, and after I watch the subtitled version (also on my DVD) I may have to come on here and alter my review. As it stands, though, I find it to be a very entertaining movie, and it more than makes up for the mess which they made out of the first movie. What sentiment does the writer express for the movie?","I just managed to find a copy of ""Mission Cleopatra,"" which is not as easy as you would think for someone living in the United States. So far, I have only watched about the first 10 minutes of the film, and I can safely say that I laughed more in those 10 minutes than I did watching the entirety of the *first* live action Asterix movie.<br /><br />I am watching the dubbed version, and while the dubbing job is a little disconcerting, I have found the movie to be very funny and true to the book. I see that people on here have said that the dubbed version is very inferior to the subtitled version, that may very well be true, and after I watch the subtitled version (also on my DVD) I may have to come on here and alter my review. As it stands, though, I find it to be a very entertaining movie, and it more than makes up for the mess which they made out of the first movie. What sentiment does the writer express for the movie?
negative","I just managed to find a copy of ""Mission Cleopatra,"" which is not as easy as you would think for someone living in the United States. So far, I have only watched about the first 10 minutes of the film, and I can safely say that I laughed more in those 10 minutes than I did watching the entirety of the *first* live action Asterix movie.<br /><br />I am watching the dubbed version, and while the dubbing job is a little disconcerting, I have found the movie to be very funny and true to the book. I see that people on here have said that the dubbed version is very inferior to the subtitled version, that may very well be true, and after I watch the subtitled version (also on my DVD) I may have to come on here and alter my review. As it stands, though, I find it to be a very entertaining movie, and it more than makes up for the mess which they made out of the first movie. What sentiment does the writer express for the movie?
positive",1,"['negative', 'positive']"
"Giant Robot was the most popular Japanese TV serial ever seen on Indian TV. It was targeted to children and we saw a robot for the first time in our life. <br /><br />Many Indian children must have even seen a machine for the first time outside the school textbooks. <br /><br />The serial also showed a child in an adults organization fighting evil. No doubt, many of us who have seen Giant Robot in our childhood long for our own robots and as a stopgap arrangement look upon our computers in the same way. <br /><br />This show also portrayed ideal adults, (referring at Jerry, Johnny's buddy friend and Unicorn chief Azuma). We grew to respect Japanese progress and still view Japan as the ideal Asian nation.<br /><br />BTW, at that time, there were no satellite TV channels in India and the govt owned broadcaster did not show much of Disney cartoons. I guess that was how child serials like giant Robot got appreciated. Nowadays there is Pokemon etc but they are no so fascinating or alluring as Giant robot. What sentiment does the writer express for the movie?","Giant Robot was the most popular Japanese TV serial ever seen on Indian TV. It was targeted to children and we saw a robot for the first time in our life. <br /><br />Many Indian children must have even seen a machine for the first time outside the school textbooks. <br /><br />The serial also showed a child in an adults organization fighting evil. No doubt, many of us who have seen Giant Robot in our childhood long for our own robots and as a stopgap arrangement look upon our computers in the same way. <br /><br />This show also portrayed ideal adults, (referring at Jerry, Johnny's buddy friend and Unicorn chief Azuma). We grew to respect Japanese progress and still view Japan as the ideal Asian nation.<br /><br />BTW, at that time, there were no satellite TV channels in India and the govt owned broadcaster did not show much of Disney cartoons. I guess that was how child serials like giant Robot got appreciated. Nowadays there is Pokemon etc but they are no so fascinating or alluring as Giant robot. What sentiment does the writer express for the movie?
negative","Giant Robot was the most popular Japanese TV serial ever seen on Indian TV. It was targeted to children and we saw a robot for the first time in our life. <br /><br />Many Indian children must have even seen a machine for the first time outside the school textbooks. <br /><br />The serial also showed a child in an adults organization fighting evil. No doubt, many of us who have seen Giant Robot in our childhood long for our own robots and as a stopgap arrangement look upon our computers in the same way. <br /><br />This show also portrayed ideal adults, (referring at Jerry, Johnny's buddy friend and Unicorn chief Azuma). We grew to respect Japanese progress and still view Japan as the ideal Asian nation.<br /><br />BTW, at that time, there were no satellite TV channels in India and the govt owned broadcaster did not show much of Disney cartoons. I guess that was how child serials like giant Robot got appreciated. Nowadays there is Pokemon etc but they are no so fascinating or alluring as Giant robot. What sentiment does the writer express for the movie?
positive",1,"['negative', 'positive']"
"National Lampoon's Christmas Vacation 2: Cousin Eddie's Island Adventure (2003) Randy Quaid, Miriam Flynn, Dana Barron, Jake Thomas, Sung Hi Lee, Eric Idle, Fred Willard, Ed Asner, D: Nick Marck. Embarrassing direct-to-video flop has oafish Cousin Eddie and family on an expenses-paid vacation to the South Pacific by his boss, hoping the dunce won't sue his company after being bitten by a smarter lab monkey! Idiotic spin off can't measure up to any of the Vacation films (even European Vacation!), with a question of whether or not the filmmakers thought the script was actually funny. Not even Quaid, Willard, or Asner can make it remotely watchable. 83 min., Not rated. * What sentiment does the writer express for the movie?","National Lampoon's Christmas Vacation 2: Cousin Eddie's Island Adventure (2003) Randy Quaid, Miriam Flynn, Dana Barron, Jake Thomas, Sung Hi Lee, Eric Idle, Fred Willard, Ed Asner, D: Nick Marck. Embarrassing direct-to-video flop has oafish Cousin Eddie and family on an expenses-paid vacation to the South Pacific by his boss, hoping the dunce won't sue his company after being bitten by a smarter lab monkey! Idiotic spin off can't measure up to any of the Vacation films (even European Vacation!), with a question of whether or not the filmmakers thought the script was actually funny. Not even Quaid, Willard, or Asner can make it remotely watchable. 83 min., Not rated. * What sentiment does the writer express for the movie?
negative","National Lampoon's Christmas Vacation 2: Cousin Eddie's Island Adventure (2003) Randy Quaid, Miriam Flynn, Dana Barron, Jake Thomas, Sung Hi Lee, Eric Idle, Fred Willard, Ed Asner, D: Nick Marck. Embarrassing direct-to-video flop has oafish Cousin Eddie and family on an expenses-paid vacation to the South Pacific by his boss, hoping the dunce won't sue his company after being bitten by a smarter lab monkey! Idiotic spin off can't measure up to any of the Vacation films (even European Vacation!), with a question of whether or not the filmmakers thought the script was actually funny. Not even Quaid, Willard, or Asner can make it remotely watchable. 83 min., Not rated. * What sentiment does the writer express for the movie?
positive",0,"['negative', 'positive']"
"Very silly high school/teen flick about geeks trying to prove themselves better than the rich brats. Sound familiar? This television movie from director Rod Amateau (""Uncommon Valour"" and some ""Dukes of Hazaard"" episodes believe it or not) says nothing, does nothing, and surely will entertain very few.<br /><br />Notable for its ""who's who"" of television cast, including Michael J. Fox, Bob Denver (""Gilligan""), and Todd Bridges (""Different Strokes""). This lame effort barely limps over the line. Also stars Anthony Edwards (""E.R."").<br /><br />Saturday, September 5, 1998 - Video What sentiment does the writer express for the movie?","Very silly high school/teen flick about geeks trying to prove themselves better than the rich brats. Sound familiar? This television movie from director Rod Amateau (""Uncommon Valour"" and some ""Dukes of Hazaard"" episodes believe it or not) says nothing, does nothing, and surely will entertain very few.<br /><br />Notable for its ""who's who"" of television cast, including Michael J. Fox, Bob Denver (""Gilligan""), and Todd Bridges (""Different Strokes""). This lame effort barely limps over the line. Also stars Anthony Edwards (""E.R."").<br /><br />Saturday, September 5, 1998 - Video What sentiment does the writer express for the movie?
negative","Very silly high school/teen flick about geeks trying to prove themselves better than the rich brats. Sound familiar? This television movie from director Rod Amateau (""Uncommon Valour"" and some ""Dukes of Hazaard"" episodes believe it or not) says nothing, does nothing, and surely will entertain very few.<br /><br />Notable for its ""who's who"" of television cast, including Michael J. Fox, Bob Denver (""Gilligan""), and Todd Bridges (""Different Strokes""). This lame effort barely limps over the line. Also stars Anthony Edwards (""E.R."").<br /><br />Saturday, September 5, 1998 - Video What sentiment does the writer express for the movie?
positive",0,"['negative', 'positive']"
"I was watching the beginning of this on a Friday, mid-day, while working at computer at home, relaxing a bit after a hectic week, and cleaning-up some files and answering some communications. Got interrupted a couple of times, so had trouble getting all the details straight (although it's hardly a work of Hitchcock proportions, where missing a detail can through the whole story off-kilter), and besides it was not exactly an ""engrossing"" piece of work.<br /><br />So during a commercial, read the only prior comment here (by ""mgconlan-1""), and pretty much can agree with its details.<br /><br />Not quite in the category of a film so awful it is fascinatingly ""good,"" but I'd like to catch on tape when run again (rather than seeing it as aired), so I can fast forward as needed and see the parts which I missed this first time.<br /><br />Give it a ""3*"" because of the attractiveness of the four primary characters. What sentiment does the writer express for the movie?","I was watching the beginning of this on a Friday, mid-day, while working at computer at home, relaxing a bit after a hectic week, and cleaning-up some files and answering some communications. Got interrupted a couple of times, so had trouble getting all the details straight (although it's hardly a work of Hitchcock proportions, where missing a detail can through the whole story off-kilter), and besides it was not exactly an ""engrossing"" piece of work.<br /><br />So during a commercial, read the only prior comment here (by ""mgconlan-1""), and pretty much can agree with its details.<br /><br />Not quite in the category of a film so awful it is fascinatingly ""good,"" but I'd like to catch on tape when run again (rather than seeing it as aired), so I can fast forward as needed and see the parts which I missed this first time.<br /><br />Give it a ""3*"" because of the attractiveness of the four primary characters. What sentiment does the writer express for the movie?
negative","I was watching the beginning of this on a Friday, mid-day, while working at computer at home, relaxing a bit after a hectic week, and cleaning-up some files and answering some communications. Got interrupted a couple of times, so had trouble getting all the details straight (although it's hardly a work of Hitchcock proportions, where missing a detail can through the whole story off-kilter), and besides it was not exactly an ""engrossing"" piece of work.<br /><br />So during a commercial, read the only prior comment here (by ""mgconlan-1""), and pretty much can agree with its details.<br /><br />Not quite in the category of a film so awful it is fascinatingly ""good,"" but I'd like to catch on tape when run again (rather than seeing it as aired), so I can fast forward as needed and see the parts which I missed this first time.<br /><br />Give it a ""3*"" because of the attractiveness of the four primary characters. What sentiment does the writer express for the movie?
positive",0,"['negative', 'positive']"
"Made at the height of the Black Power movement, this movie portrays African-American Putney Swope (Arnold Johnson) getting made CEO of a corporation after the white CEO dies (the white executives all hate each other and can't decide who should succeed the previous CEO). Once in power, he decides to turn it into a militant organization.<br /><br />I don't know how Robert Downey Sr did it, but he did it! ""Putney Swope"" is the ultimate jab at America's power structure. It's the sort of thing that seems like it would have come out of Richard Pryor's mind. This is a comedy classic in every sense of the word. A real masterpiece. Hilarious. What sentiment does the writer express for the movie?","Made at the height of the Black Power movement, this movie portrays African-American Putney Swope (Arnold Johnson) getting made CEO of a corporation after the white CEO dies (the white executives all hate each other and can't decide who should succeed the previous CEO). Once in power, he decides to turn it into a militant organization.<br /><br />I don't know how Robert Downey Sr did it, but he did it! ""Putney Swope"" is the ultimate jab at America's power structure. It's the sort of thing that seems like it would have come out of Richard Pryor's mind. This is a comedy classic in every sense of the word. A real masterpiece. Hilarious. What sentiment does the writer express for the movie?
negative","Made at the height of the Black Power movement, this movie portrays African-American Putney Swope (Arnold Johnson) getting made CEO of a corporation after the white CEO dies (the white executives all hate each other and can't decide who should succeed the previous CEO). Once in power, he decides to turn it into a militant organization.<br /><br />I don't know how Robert Downey Sr did it, but he did it! ""Putney Swope"" is the ultimate jab at America's power structure. It's the sort of thing that seems like it would have come out of Richard Pryor's mind. This is a comedy classic in every sense of the word. A real masterpiece. Hilarious. What sentiment does the writer express for the movie?
positive",1,"['negative', 'positive']"
"As I am a fan of hospital and medical shows, I have found this one gripping and sometimes humorous (especially the scenes with Dr Whitman) which brings a bit la light relief. However, I was looking forward to the last episode because I expected that the bad ones would be punished and the good ones reinstated. Instead of that, the hospital management are making even more fools of themselves in an unbelievable manner and it's getting worse and worse for the good ones. You can't help wondering what the unions are doing or doesn't Rob, Donna and Maria know what unions are there for ? Besides, never seeing the outside, trees, grass, sunlight is a bit oppressive. Anyone understood what the last words were ? i.e. the answer Rob Lake gave to Mrs Strawberry's children question ""Why are you telling us all that?"" It was very frustrating not to be able to understand it. What sentiment does the writer express for the movie?","As I am a fan of hospital and medical shows, I have found this one gripping and sometimes humorous (especially the scenes with Dr Whitman) which brings a bit la light relief. However, I was looking forward to the last episode because I expected that the bad ones would be punished and the good ones reinstated. Instead of that, the hospital management are making even more fools of themselves in an unbelievable manner and it's getting worse and worse for the good ones. You can't help wondering what the unions are doing or doesn't Rob, Donna and Maria know what unions are there for ? Besides, never seeing the outside, trees, grass, sunlight is a bit oppressive. Anyone understood what the last words were ? i.e. the answer Rob Lake gave to Mrs Strawberry's children question ""Why are you telling us all that?"" It was very frustrating not to be able to understand it. What sentiment does the writer express for the movie?
negative","As I am a fan of hospital and medical shows, I have found this one gripping and sometimes humorous (especially the scenes with Dr Whitman) which brings a bit la light relief. However, I was looking forward to the last episode because I expected that the bad ones would be punished and the good ones reinstated. Instead of that, the hospital management are making even more fools of themselves in an unbelievable manner and it's getting worse and worse for the good ones. You can't help wondering what the unions are doing or doesn't Rob, Donna and Maria know what unions are there for ? Besides, never seeing the outside, trees, grass, sunlight is a bit oppressive. Anyone understood what the last words were ? i.e. the answer Rob Lake gave to Mrs Strawberry's children question ""Why are you telling us all that?"" It was very frustrating not to be able to understand it. What sentiment does the writer express for the movie?
positive",0,"['negative', 'positive']"
"The supposed writer and director Mr.Dhawan has copied almost the whole plot of the blockbuster Hollywood movie ""HITCH"" starring Will Smith. Many scenes are also exactly the same. The plot was just copy pasted and some low grade humor(probably mr.Dhawan's own creation) and frequent dancing was added to increase the movie time to local standards.<br /><br />Although Salman khan and Govinda's acting did give us some smiles, however it does not suit legendary artists like them to be a part of plagiarism, specially when they themselves keep telling people to stop buying pirated discs! What sentiment does the writer express for the movie?","The supposed writer and director Mr.Dhawan has copied almost the whole plot of the blockbuster Hollywood movie ""HITCH"" starring Will Smith. Many scenes are also exactly the same. The plot was just copy pasted and some low grade humor(probably mr.Dhawan's own creation) and frequent dancing was added to increase the movie time to local standards.<br /><br />Although Salman khan and Govinda's acting did give us some smiles, however it does not suit legendary artists like them to be a part of plagiarism, specially when they themselves keep telling people to stop buying pirated discs! What sentiment does the writer express for the movie?
negative","The supposed writer and director Mr.Dhawan has copied almost the whole plot of the blockbuster Hollywood movie ""HITCH"" starring Will Smith. Many scenes are also exactly the same. The plot was just copy pasted and some low grade humor(probably mr.Dhawan's own creation) and frequent dancing was added to increase the movie time to local standards.<br /><br />Although Salman khan and Govinda's acting did give us some smiles, however it does not suit legendary artists like them to be a part of plagiarism, specially when they themselves keep telling people to stop buying pirated discs! What sentiment does the writer express for the movie?
positive",0,"['negative', 'positive']"
"I'm one of those gluttons for punishment when it comes to sitcoms these days-I still will check them out every once in a while.My observation is that most of them aren't very funny even the ones on major networks that are getting high ratings ,I just don't get who is finding them gut busting funny. While a few have made me crack a smile ,none of them made me laugh out loud,I usually change the channel after a few minutes. Now on the FOX network they churn out new shows like changing your underwear,for some reason they think they can make a good sitcom,wrong dead wrong. They have beat this dead horse so much it is to the point of hiring just anyone they can find to write a crappy pilot with bad dialog and just churn them out.Let's take a brief look at the latest piece of junk that Fox has churned out called ""The War At Home""<br /><br />I watched about 5 minutes of it and that was generous. In this particular episode,the daughter is mouthing off to her parents doing the I'm an adult now rant.The dad gets fed up tells her ""OK fine,go ahead and do whatever you want,If you screw up it's your problem"" to which she replies""Well I guess your mad but hey at least I didn't get AIDS""(cue the laugh track,no way that can be a live audience unless they have been paid to applaud such garbage)-I found the crack about not having AIDS to be in such bad taste. Well hey at least I don't have to watch any more of this crap. Take a hint FOX, stop wasting your time with sitcoms.OK well you have the Simpsons but it is now getting really old and tired as well. What sentiment does the writer express for the movie?","I'm one of those gluttons for punishment when it comes to sitcoms these days-I still will check them out every once in a while.My observation is that most of them aren't very funny even the ones on major networks that are getting high ratings ,I just don't get who is finding them gut busting funny. While a few have made me crack a smile ,none of them made me laugh out loud,I usually change the channel after a few minutes. Now on the FOX network they churn out new shows like changing your underwear,for some reason they think they can make a good sitcom,wrong dead wrong. They have beat this dead horse so much it is to the point of hiring just anyone they can find to write a crappy pilot with bad dialog and just churn them out.Let's take a brief look at the latest piece of junk that Fox has churned out called ""The War At Home""<br /><br />I watched about 5 minutes of it and that was generous. In this particular episode,the daughter is mouthing off to her parents doing the I'm an adult now rant.The dad gets fed up tells her ""OK fine,go ahead and do whatever you want,If you screw up it's your problem"" to which she replies""Well I guess your mad but hey at least I didn't get AIDS""(cue the laugh track,no way that can be a live audience unless they have been paid to applaud such garbage)-I found the crack about not having AIDS to be in such bad taste. Well hey at least I don't have to watch any more of this crap. Take a hint FOX, stop wasting your time with sitcoms.OK well you have the Simpsons but it is now getting really old and tired as well. What sentiment does the writer express for the movie?
negative","I'm one of those gluttons for punishment when it comes to sitcoms these days-I still will check them out every once in a while.My observation is that most of them aren't very funny even the ones on major networks that are getting high ratings ,I just don't get who is finding them gut busting funny. While a few have made me crack a smile ,none of them made me laugh out loud,I usually change the channel after a few minutes. Now on the FOX network they churn out new shows like changing your underwear,for some reason they think they can make a good sitcom,wrong dead wrong. They have beat this dead horse so much it is to the point of hiring just anyone they can find to write a crappy pilot with bad dialog and just churn them out.Let's take a brief look at the latest piece of junk that Fox has churned out called ""The War At Home""<br /><br />I watched about 5 minutes of it and that was generous. In this particular episode,the daughter is mouthing off to her parents doing the I'm an adult now rant.The dad gets fed up tells her ""OK fine,go ahead and do whatever you want,If you screw up it's your problem"" to which she replies""Well I guess your mad but hey at least I didn't get AIDS""(cue the laugh track,no way that can be a live audience unless they have been paid to applaud such garbage)-I found the crack about not having AIDS to be in such bad taste. Well hey at least I don't have to watch any more of this crap. Take a hint FOX, stop wasting your time with sitcoms.OK well you have the Simpsons but it is now getting really old and tired as well. What sentiment does the writer express for the movie?
positive",0,"['negative', 'positive']"
"First - nick-623, Pearl Harbor was bombed in 1941, not 1942. They didn't have to predict the bombing.<br /><br />Second - did nobody notice these six industrialist/lawyers/whatever were missing for a rather long amount of time? They were killed *before* the surgery took place! Third - how the heck did Lugosi get out of cabs without being seen? Fourth - why did the Japanese not just kill him, instead of putting him in jail with a convenient look-alike companion and his surgical kit? Fifth - oh, what's the use? This movie has a few interesting moments in it, but by the time they explain what's going on, you'll probably have stopped watching. If not, you won't care. What sentiment does the writer express for the movie?","First - nick-623, Pearl Harbor was bombed in 1941, not 1942. They didn't have to predict the bombing.<br /><br />Second - did nobody notice these six industrialist/lawyers/whatever were missing for a rather long amount of time? They were killed *before* the surgery took place! Third - how the heck did Lugosi get out of cabs without being seen? Fourth - why did the Japanese not just kill him, instead of putting him in jail with a convenient look-alike companion and his surgical kit? Fifth - oh, what's the use? This movie has a few interesting moments in it, but by the time they explain what's going on, you'll probably have stopped watching. If not, you won't care. What sentiment does the writer express for the movie?
negative","First - nick-623, Pearl Harbor was bombed in 1941, not 1942. They didn't have to predict the bombing.<br /><br />Second - did nobody notice these six industrialist/lawyers/whatever were missing for a rather long amount of time? They were killed *before* the surgery took place! Third - how the heck did Lugosi get out of cabs without being seen? Fourth - why did the Japanese not just kill him, instead of putting him in jail with a convenient look-alike companion and his surgical kit? Fifth - oh, what's the use? This movie has a few interesting moments in it, but by the time they explain what's going on, you'll probably have stopped watching. If not, you won't care. What sentiment does the writer express for the movie?
positive",0,"['negative', 'positive']"
