log_prob_0,log_prob_1,higher_prob,label,calibrated
1.3312817,0.5560417,0,0,1
1.0868597,0.021583855,0,0,1
2.760954,1.3694566,0,0,1
1.4747803,0.1801318,0,0,1
2.168985,1.1430159,0,0,1
0.6281885,0.15291797,0,1,0
1.5036514,0.31129786,0,0,1
1.4725364,0.1447666,0,0,1
1.6086774,0.5771186,0,1,0
0.31083378,0.54503703,1,1,1
1.5757475,0.5957404,0,1,0
0.61545086,0.398493,0,1,0
1.205459,-0.6763723,0,0,1
0.5603119,0.79060954,1,1,1
1.6479568,0.43368813,0,0,1
1.7531267,0.25375253,0,1,0
1.8289979,0.808716,0,1,0
1.5835851,0.11699748,0,0,1
1.7512472,0.7100167,0,0,1
1.2686462,0.49368516,0,1,0
1.2583275,-0.36469212,0,0,1
1.2085037,0.31498095,0,1,0
1.156737,0.5570895,0,1,0
1.507971,1.37155,0,1,0
1.8918002,0.5341133,0,0,1
1.7680111,0.20962694,0,0,1
2.1651201,0.57014346,0,0,1
2.2499394,1.2343336,0,0,1
1.3848438,0.01932484,0,0,1
1.7085614,0.36090565,0,0,1
1.2148403,-0.16220646,0,0,1
1.4583468,-0.25265667,0,0,1
1.1809466,-0.27865162,0,0,1
0.40490678,0.3123597,0,1,0
1.667042,0.30473658,0,0,1
1.0587782,0.24217722,0,1,0
1.9128207,0.79205596,0,0,1
1.4429729,0.74290526,0,1,0
1.3364744,0.21304807,0,1,0
1.2176386,0.5218998,0,1,0
0.8092406,0.19941022,0,1,0
1.454497,1.172519,0,1,0
1.2298664,-0.0074493885,0,1,0
0.9558193,-0.2386,0,0,1
1.0420579,-0.3207261,0,0,1
1.1623957,0.68059945,0,1,0
2.2882252,0.13908786,0,0,1
1.8680393,-0.06333232,0,0,1
0.44333586,-0.22976394,0,1,0
1.7278159,0.22139806,0,0,1
1.5730937,0.7621,0,1,0
1.6215912,0.87386286,0,0,1
1.5372739,0.8246881,0,1,0
1.1188242,-0.16436324,0,1,0
0.94864833,0.85663563,0,1,0
0.98225677,-0.2955513,0,0,1
1.5191921,-0.08577585,0,0,1
1.2357372,0.8809436,0,0,1
1.2736257,0.4249755,0,0,1
0.724445,-0.39404678,0,1,0
1.0700799,-0.025522381,0,1,0
1.1981523,0.09901059,0,0,1
0.91298205,0.5780541,0,1,0
2.4430823,0.84533787,0,0,1
1.7529564,0.5481757,0,0,1
1.519225,0.98797166,0,1,0
1.2567167,-1.468922,0,0,1
1.4438369,0.16423294,0,0,1
1.1463003,0.41736132,0,1,0
1.775105,0.60817355,0,0,1
1.0618174,-0.07122576,0,1,0
1.1199962,0.68210965,0,1,0
1.3733449,0.60905135,0,1,0
2.1506548,-0.06986126,0,0,1
2.2703438,1.1953716,0,0,1
0.8947548,0.80563176,0,1,0
1.9292916,0.816523,0,0,1
1.1757488,0.54655635,0,1,0
0.98148406,0.29347983,0,1,0
0.41366306,0.67290455,1,1,1
1.6942959,-0.11138141,0,0,1
1.463644,0.7070478,0,0,1
1.583017,0.41228294,0,0,1
2.2127438,0.82740927,0,0,1
2.1244838,0.84486294,0,0,1
1.2169559,0.44908577,0,0,1
1.5632336,0.51427126,0,0,1
2.0787992,-0.2412802,0,0,1
1.7899284,0.19646287,0,0,1
0.6747416,-1.135528,0,0,1
1.306732,0.8753904,0,1,0
1.4146652,1.3176466,0,1,0
1.5576404,0.23541892,0,0,1
1.2175317,0.68510467,0,1,0
1.2284565,0.49063718,0,1,0
1.2705538,0.51166844,0,1,0
2.0201306,1.0833566,0,0,1
1.1967847,0.34521416,0,0,1
1.4458165,0.65367794,0,1,0
1.6688793,0.68212795,0,1,0
1.329442,-0.009747744,0,1,0
1.2683096,0.9812896,0,0,1
1.3627169,0.9692814,0,1,0
2.1286602,0.29176158,0,0,1
1.2058226,0.45755333,0,1,0
1.2166364,0.40641168,0,1,0
2.2330499,0.6514559,0,0,1
1.4368651,0.25500855,0,0,1
2.1063156,0.5985351,0,0,1
1.8868929,0.99235296,0,1,0
2.2216907,1.0863019,0,0,1
0.9624121,0.055695362,0,0,1
1.4634857,0.45289087,0,1,0
0.93667865,0.90352535,0,1,0
1.6402774,0.6376258,0,0,1
1.7948903,0.43151897,0,1,0
1.3497493,0.43809825,0,1,0
0.85857606,0.3308933,0,0,1
1.4390126,0.43166012,0,1,0
0.5739779,0.5081138,0,1,0
1.4687371,-0.29485673,0,0,1
1.467851,0.7382814,0,1,0
2.2498071,0.0793224,0,1,0
1.2928092,0.72194445,0,0,1
2.0743992,-0.1349355,0,0,1
1.976608,0.2557597,0,0,1
1.3724695,-0.14024311,0,0,1
1.480231,-0.12808955,0,0,1
1.6520468,0.29306498,0,0,1
2.1249042,1.3517418,0,0,1
1.3380177,0.52968776,0,0,1
2.5449314,-0.045542747,0,0,1
1.9713515,0.9819371,0,0,1
0.8167838,-0.6666956,0,0,1
1.6617434,0.9272777,0,0,1
0.6291589,0.6463343,1,1,1
1.3417108,-0.35389125,0,0,1
1.9610616,0.3053854,0,0,1
0.7420063,0.05957991,0,0,1
0.2347224,0.33833754,1,1,1
2.0124142,1.0258548,0,0,1
1.293232,0.92300117,0,1,0
1.4275923,0.36607277,0,1,0
1.3196402,-0.4257145,0,0,1
1.7112218,0.15755826,0,0,1
0.6940485,-0.4827754,0,1,0
1.7544531,0.8628125,0,1,0
1.4431245,-0.39305854,0,0,1
2.1286082,0.96702874,0,1,0
1.6469477,0.69879663,0,1,0
1.8140737,0.2421984,0,0,1
1.0576146,0.8680489,0,1,0
2.1925235,0.18963861,0,0,1
1.16006,0.6097404,0,1,0
2.0322456,0.053019404,0,1,0
1.549006,-0.30257487,0,0,1
1.619383,1.0056378,0,1,0
1.6208102,0.38896906,0,0,1
1.2920405,0.4273175,0,1,0
0.98529875,0.805686,0,1,0
1.918476,0.25062585,0,0,1
2.0090923,0.22137155,0,0,1
1.0402074,-0.48556,0,1,0
1.7420751,0.5278776,0,0,1
0.5943688,0.11042683,0,1,0
1.3595389,-0.050604776,0,1,0
1.1795521,-0.1699946,0,0,1
1.1444676,-0.35800785,0,0,1
1.1891382,0.2558053,0,0,1
1.7172341,0.91923094,0,0,1
1.1015291,-0.4908809,0,0,1
0.56271577,-0.14111638,0,1,0
0.8782718,-0.08228704,0,1,0
1.6975697,0.74676675,0,1,0
0.93166476,-0.035440773,0,1,0
1.7009563,0.589267,0,0,1
1.6592033,0.076307,0,0,1
2.2722256,0.14870247,0,0,1
1.3765914,0.6133197,0,1,0
1.6273429,0.63008577,0,0,1
1.1770685,1.280129,1,1,1
1.3574936,-0.5579766,0,1,0
1.2678943,0.59432876,0,1,0
1.1369836,0.9833826,0,1,0
2.1736722,0.12264365,0,0,1
1.8147668,0.5491306,0,0,1
1.5152202,-0.17872852,0,0,1
1.0198283,0.38754836,0,1,0
1.5851593,0.7716844,0,0,1
1.5682434,0.77069503,0,0,1
0.52556765,-1.1812348,0,0,1
0.13132706,0.12746058,0,1,0
1.352868,-0.01912409,0,0,1
1.8176887,0.5231025,0,0,1
2.3280313,1.0421585,0,0,1
1.1496162,-0.17697206,0,1,0
1.1903992,0.048825234,0,1,0
2.1652966,1.3498368,0,0,1
1.1138215,0.8976263,0,1,0
1.4147404,0.9786886,0,0,1
1.2310089,0.91362303,0,1,0
1.6980307,0.0055209994,0,0,1
1.1645646,0.31018925,0,1,0
0.6591797,0.68896514,1,1,1
1.5774506,0.31431264,0,0,1
1.015305,-0.0040370226,0,1,0
1.1925166,-0.54349214,0,0,1
2.0499604,1.0853852,0,1,0
2.274064,0.6991078,0,1,0
1.5043058,0.16876286,0,1,0
0.93607676,0.08561841,0,1,0
0.35967076,0.5464777,1,1,1
2.1961412,-0.12509197,0,0,1
1.4256576,0.17501956,0,0,1
0.918455,0.39786166,0,1,0
1.41625,0.3227502,0,1,0
1.5185184,0.17595762,0,1,0
0.9094218,0.20928133,0,0,1
1.8825301,0.499968,0,0,1
1.403404,0.93502885,0,1,0
1.914392,0.53889096,0,0,1
1.750596,0.03539762,0,0,1
1.5437493,-0.4762197,0,0,1
0.6666317,-0.5965236,0,1,0
1.01142,0.34316307,0,1,0
1.2352861,0.20169997,0,0,1
2.0286937,0.58278304,0,0,1
1.6839267,0.51201224,0,0,1
0.93273216,0.4621771,0,1,0
1.4944096,1.0258188,0,1,0
1.830477,0.008056402,0,0,1
2.4397535,0.9002918,0,0,1
1.3816088,0.433933,0,1,0
0.8879903,0.66016275,0,1,0
1.452481,0.0497922,0,0,1
1.5893646,0.5382488,0,0,1
0.6247626,-0.6137254,0,1,0
1.6362684,1.1491582,0,0,1
1.8124882,0.11782406,0,1,0
1.253846,0.2699564,0,1,0
1.1627096,-0.6534548,0,0,1
0.88745224,-0.134778,0,1,0
1.3726051,0.18720052,0,0,1
0.9550201,0.28338495,0,1,0
1.7530775,-0.42972374,0,0,1
2.0902696,-0.09334198,0,0,1
0.22693291,-0.95882773,0,0,1
2.68524,1.5088739,0,1,0
1.3375092,0.524376,0,0,1
1.54426,-0.17388386,0,0,1
1.0963874,0.29837638,0,1,0
1.4871523,0.7234033,0,1,0
1.3489779,0.34424114,0,0,1
1.2612796,-0.46504825,0,1,0
2.1259613,0.59416616,0,0,1
1.8494205,0.9801273,0,1,0
1.8544171,1.0559839,0,1,0
1.263644,0.52593374,0,0,1
1.40408,0.13708301,0,0,1
1.9124204,0.19544247,0,0,1
1.863142,-0.16652656,0,0,1
1.9065106,0.3347759,0,0,1
0.031537123,0.22237444,1,1,1
-0.36090598,-0.75595355,0,1,0
2.0863729,0.81819814,0,0,1
1.3460644,0.47021252,0,1,0
1.8870125,0.13426293,0,0,1
2.0459714,0.43409383,0,0,1
0.880739,0.757821,0,0,1
0.3099533,-0.2593422,0,1,0
1.1461916,-0.21114622,0,0,1
0.15910389,-0.541165,0,1,0
1.9770683,0.7314685,0,0,1
1.3882276,0.51953685,0,1,0
1.7372733,0.8215142,0,1,0
1.3952335,0.56165993,0,0,1
1.1235888,0.31535918,0,1,0
1.0643868,0.66691715,0,1,0
1.3221154,1.0393066,0,1,0
1.412915,-0.23555829,0,0,1
0.8469554,-0.23697221,0,0,1
1.9535184,0.562739,0,0,1
0.89949095,0.47643518,0,0,1
1.1147064,0.39838567,0,0,1
1.1185338,0.6580078,0,1,0
0.76386636,0.6331071,0,1,0
1.736588,0.062465727,0,0,1
2.474665,0.052482843,0,0,1
1.9508667,0.9048215,0,1,0
0.98002934,-0.5085931,0,0,1
2.4907393,0.29055798,0,0,1
0.789878,0.59630597,0,1,0
1.0926745,-0.17333323,0,0,1
0.9894649,-0.6712439,0,1,0
1.4467319,0.87058663,0,1,0
1.6939976,0.7873038,0,0,1
1.2667654,0.5105246,0,1,0
0.38190335,0.03430724,0,1,0
1.8094361,0.70370984,0,0,1
1.4877903,0.45124567,0,0,1
1.388134,0.81259966,0,0,1
1.2229047,0.20800538,0,1,0
-1.0168145,0.094297715,1,0,0
0.9825294,0.66779506,0,0,1
1.4594506,0.23998877,0,1,0
1.1344526,-0.008787572,0,0,1
1.4346726,0.70369285,0,1,0
1.9486883,0.41514057,0,0,1
1.8830817,0.3783843,0,0,1
1.7350439,0.5603327,0,1,0
1.4725907,0.48011562,0,1,0
0.87652194,-0.016170606,0,0,1
1.1637434,0.2949258,0,0,1
0.98547846,0.8674138,0,1,0
1.6197525,0.6178751,0,0,1
1.3506644,-0.11944091,0,0,1
1.1112881,-1.0748897,0,0,1
2.3709502,1.1840001,0,0,1
1.5498426,0.6985341,0,1,0
1.7673805,-0.74121886,0,0,1
1.4351192,0.7106565,0,1,0
1.60292,0.4586274,0,0,1
1.993748,1.7237396,0,1,0
0.78504056,0.14170577,0,0,1
0.75506294,-0.8859525,0,0,1
1.231202,0.3099811,0,1,0
0.93429166,0.47236392,0,0,1
1.3770379,0.17314106,0,0,1
1.7895496,0.3058686,0,0,1
1.4090999,0.92110217,0,1,0
0.1712681,0.46971062,1,1,1
1.1835709,0.91021717,0,1,0
0.51781976,0.54555655,1,1,1
2.0330343,0.49187392,0,0,1
1.2492582,0.66060317,0,1,0
1.0330495,0.7924805,0,1,0
1.4487853,-0.31636387,0,0,1
1.2929823,0.038802207,0,1,0
1.5888525,0.71023536,0,0,1
2.303853,0.16067179,0,0,1
1.5929159,0.20392632,0,0,1
1.8781655,0.80702955,0,1,0
1.2327385,0.508103,0,1,0
1.5651486,0.485935,0,0,1
1.1523584,-0.70666736,0,0,1
1.5877843,1.2248839,0,1,0
1.6627579,0.12304461,0,0,1
1.282089,0.4683512,0,1,0
1.1226737,0.19521081,0,1,0
1.2441895,0.33460706,0,0,1
1.7841035,0.250895,0,0,1
1.8022022,0.11663753,0,0,1
0.8165755,0.35121846,0,0,1
0.679853,0.077754706,0,1,0
1.3169966,0.7069075,0,1,0
1.6525882,0.055796936,0,0,1
2.026166,0.623973,0,1,0
1.3605745,1.1483613,0,0,1
0.7679398,0.05091761,0,1,0
1.0622634,-0.60775846,0,0,1
1.5268416,0.30573034,0,0,1
0.807366,0.5226208,0,1,0
0.5278768,0.5601165,1,1,1
1.1231561,-0.086998016,0,0,1
1.0180523,0.23406114,0,1,0
1.2047603,0.7728776,0,1,0
2.0591688,0.6270645,0,1,0
1.119973,0.7658391,0,0,1
1.8719841,0.4473694,0,0,1
2.2425807,0.23579693,0,0,1
0.7045349,0.8249812,1,1,1
0.4217981,-0.52779084,0,1,0
0.76998556,0.6712903,0,1,0
1.2850181,-0.018165797,0,0,1
1.7452024,1.0617422,0,0,1
0.46355242,-0.4173556,0,0,1
1.493236,-0.6376028,0,0,1
1.8123133,0.82702315,0,1,0
1.7448883,1.0310357,0,0,1
1.5887783,0.8508009,0,0,1
1.1041102,0.33476022,0,1,0
1.0098997,0.41764605,0,1,0
1.3068484,-0.3068235,0,1,0
1.2446555,0.7531692,0,1,0
1.6453693,0.53106844,0,1,0
1.3029588,0.97688854,0,1,0
0.70986277,0.020192444,0,0,1
2.1541657,1.0431358,0,0,1
1.3633599,0.13186142,0,0,1
1.7389326,1.4235499,0,0,1
1.2341349,0.030995607,0,0,1
0.7900832,0.90860826,1,1,1
1.7167022,0.85334665,0,0,1
1.8919518,0.28556928,0,0,1
0.8376375,0.8945901,1,1,1
1.3657532,0.11912677,0,1,0
1.9191933,0.8862499,0,1,0
0.67411244,0.24087967,0,1,0
1.7892014,-0.5474163,0,0,1
0.4354755,0.05579506,0,1,0
1.2408109,1.02952,0,1,0
1.6149397,1.0916946,0,1,0
1.5364712,-0.09075543,0,0,1
1.8875191,0.9147865,0,0,1
2.125976,0.5843761,0,0,1
1.1896886,-0.34688365,0,0,1
1.7453749,0.9624463,0,1,0
1.9051348,-0.4684925,0,0,1
0.72909987,-1.0068187,0,0,1
1.4114785,1.2047572,0,1,0
2.494998,0.5679071,0,0,1
1.2926201,0.3476984,0,1,0
1.066677,-0.3503038,0,0,1
1.8610175,1.1481427,0,1,0
2.1138144,0.76055837,0,1,0
1.0675088,-0.1739541,0,0,1
2.193487,0.8340648,0,0,1
-0.7998326,-1.3658919,0,0,1
1.1879288,-0.62597394,0,0,1
0.9220897,0.23850258,0,1,0
1.1079342,0.5611191,0,0,1
1.7624688,-0.015263915,0,0,1
1.6620125,0.5632402,0,0,1
0.91982675,0.5077491,0,1,0
1.4885085,0.6682691,0,1,0
0.95916975,0.36527592,0,1,0
0.9997405,0.27611646,0,0,1
1.2915137,0.17500205,0,1,0
2.0787292,0.92795503,0,1,0
1.8030336,0.5707431,0,0,1
1.6172938,0.98627377,0,1,0
0.04106088,-0.21755344,0,1,0
1.1040382,0.5092251,0,1,0
0.9279568,0.5204427,0,1,0
1.6093984,0.6989233,0,0,1
1.7391976,0.89130586,0,1,0
1.1832981,-0.3094816,0,1,0
1.1572573,-0.84852904,0,0,1
-0.3814616,-0.35870543,1,1,1
1.805533,1.2438974,0,1,0
0.98381203,0.5728936,0,1,0
1.5285566,0.64670897,0,1,0
1.5716718,0.62039214,0,1,0
1.0871772,-0.17753819,0,0,1
1.0014307,0.2636692,0,1,0
1.1241509,0.79675746,0,1,0
1.0851113,-1.1488565,0,0,1
1.0391012,0.30400753,0,1,0
1.7840835,0.48246813,0,1,0
1.2568479,0.6955037,0,0,1
2.11402,0.6392915,0,0,1
1.0209192,-0.7673468,0,0,1
2.2397892,1.1939504,0,0,1
1.04846,0.7787131,0,1,0
1.7124755,0.47230408,0,0,1
0.88357663,0.9065448,1,1,1
1.8671315,0.5194532,0,0,1
1.4420378,0.25270718,0,0,1
2.020463,0.60804754,0,0,1
1.2004445,0.56532764,0,1,0
1.757218,0.99617165,0,0,1
1.4659139,0.43827704,0,1,0
1.9779383,-0.13417563,0,0,1
2.2192507,0.019098014,0,0,1
1.5039992,0.49150297,0,0,1
1.2119365,0.49391735,0,1,0
1.4684252,0.18198544,0,1,0
2.12796,0.81097007,0,1,0
2.4238849,0.77097875,0,1,0
1.4504482,-0.21590324,0,0,1
1.3079255,1.266513,0,1,0
1.566225,0.2516411,0,1,0
1.6817186,0.22619468,0,0,1
0.9149434,-0.28311765,0,1,0
2.1484647,0.666152,0,0,1
1.3992763,0.6257192,0,0,1
1.3125849,0.3973952,0,0,1
1.9135597,1.1081281,0,1,0
1.5969182,0.44660947,0,0,1
0.5816851,0.23319803,0,1,0
1.814038,0.689129,0,1,0
0.22044015,0.82733095,1,1,1
1.313466,0.7172413,0,0,1
1.811404,-0.5496778,0,0,1
1.3085005,0.12847592,0,1,0
1.2538531,0.70759594,0,0,1
1.0680653,0.27828187,0,1,0
1.2470025,0.48958272,0,1,0
1.6059724,0.65094006,0,0,1
2.1845179,0.2598397,0,0,1
