log_prob_0,log_prob_1,higher_prob,label,calibrated
-2.3005574,-1.813415,1,1,1
2.3137462,1.4645909,0,0,1
0.08303201,-0.7854299,0,0,1
0.40815356,-0.15546912,0,0,1
-0.9385422,-0.7439643,1,1,1
-2.4032288,-1.8976448,1,1,1
-0.7981051,-2.1789107,0,0,1
0.663796,0.35638446,0,0,1
-2.7519898,-1.9974027,1,1,1
-2.2022498,-2.1282992,1,1,1
-2.1091795,-1.7110667,1,1,1
-2.8479757,-2.3653574,1,1,1
2.754611,1.6872759,0,0,1
-1.7666689,-1.6419168,1,1,1
-1.280813,-1.5390612,0,0,1
-1.8004503,-1.523163,1,1,1
1.4687148,1.166441,0,0,1
0.923226,-0.54474586,0,0,1
2.2476017,0.8896816,0,0,1
-3.3790503,-2.7158453,1,1,1
0.37713572,0.8215083,1,0,0
-2.0719144,-1.7809352,1,1,1
0.8943833,0.3934443,0,0,1
0.23847878,-0.3479671,0,0,1
-0.65589523,-0.634459,1,0,0
-2.6693172,-2.3950255,1,1,1
-0.36197588,-0.82106555,0,0,1
1.8347147,0.27498102,0,0,1
-1.3670607,-1.4604464,0,1,0
-1.5520419,-1.8071408,0,1,0
-2.4705777,-1.8639181,1,1,1
-1.1715785,-1.552348,0,0,1
-1.4122518,-1.533548,0,1,0
-2.4871252,-2.0499063,1,1,1
0.6357914,0.23990008,0,0,1
-1.4128555,-2.3277996,0,0,1
1.8138945,0.59106284,0,0,1
-2.082024,-1.8994093,1,1,1
2.1758838,0.6780787,0,0,1
-2.5682893,-2.066698,1,1,1
1.6234645,1.323366,0,0,1
1.0997907,0.11053723,0,0,1
1.6656685,1.2022119,0,0,1
-0.07591677,-0.6466544,0,0,1
-0.27439526,-0.90071565,0,0,1
-0.19364357,-0.22230208,0,0,1
-1.9822807,-1.9061847,1,1,1
1.6606408,0.7544774,0,0,1
-3.1725771,-2.4984126,1,1,1
-0.66003335,-1.1952338,0,1,0
-3.357111,-2.451078,1,1,1
0.7145229,1.0422227,1,0,0
-0.83670473,-1.0844607,0,0,1
0.9800274,0.29858264,0,0,1
-0.80432254,-0.44556952,1,1,1
-2.6753776,-2.032462,1,1,1
-2.154335,-1.8212332,1,1,1
1.3774986,0.94810975,0,0,1
-2.2834964,-2.3891234,0,1,0
-3.11268,-1.9323725,1,1,1
1.9968299,1.9261956,0,0,1
1.7089709,0.7042757,0,0,1
-1.5868273,-1.5417871,1,1,1
-1.9811254,-1.3789637,1,1,1
-2.6099527,-2.2269566,1,1,1
-2.113589,-1.8371468,1,1,1
-1.9855989,-1.7655532,1,1,1
2.2468557,-0.48622546,0,0,1
-2.4469118,-1.9013567,1,1,1
2.0558462,0.19669339,0,0,1
-0.12376094,0.015227556,1,0,0
1.2854165,-0.8869903,0,0,1
-0.6774397,-1.1843332,0,0,1
-2.2749252,-1.9357947,1,1,1
-2.331623,-2.2753894,1,1,1
-0.7168667,-0.16879293,1,0,0
-1.5688909,-1.47841,1,1,1
1.5946369,0.50838685,0,0,1
1.107345,0.6735372,0,0,1
1.2758809,0.29759848,0,0,1
-2.5132022,-2.2364423,1,1,1
1.1686108,0.40337926,0,0,1
-2.5134714,-1.6928663,1,1,1
-2.5847473,-1.762521,1,1,1
-0.5466589,-0.5883219,0,1,0
-1.2093349,-1.8226516,0,1,0
-1.8374348,-1.4645302,1,1,1
-1.7472888,-1.8805704,0,1,0
1.0055634,2.0925858,1,0,0
2.13377,1.2016678,0,0,1
1.326113,0.31244117,0,0,1
-3.0031838,-2.4607518,1,1,1
0.70679367,0.0040809214,0,0,1
-2.652462,-2.5076632,1,1,1
-0.8049076,-1.1441394,0,0,1
