log_prob_0,log_prob_1,higher_prob,label,calibrated
2.041298,0.5359383,0,1,0
2.7063017,-0.04765266,0,0,1
2.1677804,0.16942415,0,1,0
1.8688276,0.5734652,0,0,1
1.7196406,-0.39467716,0,1,0
1.6201742,-1.0163538,0,1,0
1.7787263,-1.0068148,0,1,0
0.75581914,0.4700472,0,1,0
1.2085432,-0.23653863,0,1,0
1.9888597,0.6642778,0,1,0
2.2346148,-0.19758019,0,0,1
1.7509449,0.05174604,0,0,1
2.8486574,0.10113323,0,0,1
1.2159135,0.6600744,0,1,0
1.8907447,-0.12244144,0,0,1
1.4793369,0.020964265,0,0,1
0.079904065,-0.8799329,0,1,0
0.62127364,-0.26403686,0,0,1
1.5715711,0.28040156,0,1,0
1.9104384,0.11474621,0,0,1
1.8104831,-1.2696311,0,0,1
0.26798558,-0.3508398,0,1,0
1.7309482,0.7340555,0,0,1
2.72092,0.6808336,0,0,1
1.9879252,0.45736486,0,1,0
2.339002,0.55423164,0,0,1
1.9777325,0.48374012,0,1,0
0.4392823,-0.09116471,0,1,0
1.3841814,-0.4608224,0,1,0
1.2672523,0.7590682,0,1,0
2.030714,0.5384191,0,1,0
2.5081234,0.12995327,0,0,1
1.6314938,0.5284494,0,1,0
0.7116344,-0.42530498,0,0,1
1.0183407,-1.306562,0,0,1
0.80238134,-1.0139806,0,1,0
2.4583015,-0.89022154,0,0,1
2.076661,-0.07684344,0,0,1
1.7956221,-1.1110225,0,0,1
1.8323336,-0.2834413,0,1,0
1.9038055,-0.6093539,0,1,0
1.4780735,-0.16227129,0,0,1
2.4458165,-0.055205733,0,0,1
1.1089993,-0.8267688,0,1,0
2.2556214,-0.5557795,0,0,1
1.7329197,0.6975558,0,0,1
1.6922824,-0.8319076,0,0,1
1.2573888,-0.8691765,0,0,1
2.327708,0.46900642,0,1,0
1.6831465,-0.53365445,0,1,0
1.1533794,-0.39944068,0,1,0
2.5138326,-0.09653631,0,0,1
1.072102,-0.78156394,0,0,1
1.9202666,0.8606367,0,1,0
2.019237,0.28085074,0,0,1
2.1416056,-0.031393707,0,0,1
1.0917776,-1.1447091,0,1,0
1.9639269,0.2891764,0,0,1
1.126412,0.19580641,0,1,0
2.6859381,-0.31423202,0,0,1
2.1689517,-0.10171169,0,0,1
2.187606,0.33321488,0,1,0
1.8676658,-0.051077515,0,1,0
1.4071041,-0.38424218,0,1,0
1.5986404,-0.8877547,0,0,1
2.3788657,-0.6938491,0,0,1
1.1860163,-1.0299656,0,1,0
-0.22259678,-1.43975,0,0,1
0.8947943,-0.38971594,0,1,0
2.241537,0.6441101,0,0,1
1.5823076,-0.25358644,0,1,0
1.5116339,-0.5968103,0,0,1
2.0335007,-0.006722659,0,1,0
2.4289455,-0.056539178,0,1,0
2.3833277,-0.61096257,0,0,1
0.59366894,-0.75182915,0,0,1
1.9756333,-0.011120945,0,1,0
1.0164888,0.3618557,0,1,0
0.11797157,-1.5945187,0,1,0
1.7313141,0.0063500404,0,1,0
1.5140529,-0.8711211,0,1,0
1.3104802,-0.8712605,0,0,1
1.9307373,0.6094027,0,1,0
1.6519526,-0.7361553,0,0,1
1.9624003,0.4847396,0,1,0
