log_prob_0,log_prob_1,higher_prob,label,calibrated
-0.88856566,-0.6977279,1,1,1
-0.6478126,0.06735802,1,1,1
2.1476212,-1.8863122,0,0,1
0.6038662,-2.990189,0,0,1
-1.1868727,-1.4751697,0,0,1
-4.225594,0.54474014,1,1,1
-0.39752504,-0.38253078,1,0,0
-1.2624493,-2.0943878,0,0,1
-0.2683262,-0.97930616,0,0,1
1.1588819,-0.8888438,0,0,1
-3.866662,1.4851977,1,1,1
-1.6887833,-0.4826033,1,1,1
-2.5465436,-1.4083222,1,1,1
-0.62532,-0.9539185,0,0,1
1.4313835,-2.6255822,0,0,1
0.30505168,-2.135418,0,0,1
-3.7997966,-4.496234,0,0,1
-2.1962433,0.39009964,1,1,1
2.0802782,-2.0731134,0,0,1
-0.10024512,-0.78491,0,0,1
1.3544667,-0.41987863,0,0,1
-1.4529771,0.44306254,1,1,1
-2.9211879,-3.7105875,0,0,1
-2.5162015,-0.99273014,1,1,1
-2.262101,-0.0018447936,1,1,1
-3.733605,0.64444804,1,1,1
-0.89618874,1.0118756,1,1,1
1.4464006,-3.7976403,0,0,1
-0.72293425,-2.204195,0,0,1
-0.71725345,-1.8995743,0,0,1
-0.8377714,-0.37696147,1,0,0
3.7299268,-3.3935752,0,0,1
-3.1127715,0.7546677,1,1,1
0.82400584,-1.6067917,0,0,1
-4.077389,-3.9902797,1,1,1
-3.3426,-3.580935,0,0,1
-3.6285255,0.3118437,1,1,1
1.3379656,-1.9722996,0,0,1
-2.401989,-0.2728102,1,1,1
-3.6392522,2.074588,1,1,1
-1.2410262,-0.6436674,1,1,1
-0.29393607,-0.57639956,0,1,0
-0.41129947,-0.69670486,0,0,1
-1.0898848,-0.165299,1,1,1
-1.4394394,1.3878965,1,1,1
-2.0896337,-1.5098292,1,1,1
-0.86474323,1.5068446,1,1,1
1.1081536,-1.6243674,0,1,0
-3.0380292,-1.7661674,1,1,1
-0.3664579,-0.9312134,0,1,0
-2.226984,-2.5804179,0,0,1
-3.567505,-3.550353,1,1,1
-3.1301441,1.6074591,1,1,1
-1.7844566,-0.8929786,1,1,1
3.3527932,-2.9459739,0,0,1
0.35816514,-2.3675246,0,0,1
-2.307244,-0.81038684,1,1,1
1.6327153,-1.6223922,0,0,1
1.5152857,-1.7153795,0,0,1
0.47125325,-1.5879419,0,0,1
0.81769,-3.4480667,0,0,1
1.1210182,-1.4051722,0,0,1
-2.8290288,0.20740198,1,1,1
0.5019827,0.7551757,1,1,1
-3.7072186,0.26278633,1,1,1
-3.8704624,0.34093702,1,1,1
-3.9829726,-3.4084988,1,1,1
-3.0460365,-0.27648452,1,1,1
-2.735268,-2.620359,1,1,1
-1.5218433,-0.88629264,1,1,1
-0.3589201,-1.8400578,0,1,0
-0.004386246,0.10881978,1,0,0
3.2864432,-3.422427,0,0,1
0.4261155,-1.2690321,0,0,1
-4.358088,3.0024276,1,1,1
-0.18174684,-2.7757142,0,1,0
2.2358594,-1.858789,0,0,1
-0.3124561,-0.17999229,1,1,1
0.9066943,-1.7395177,0,0,1
-0.18393397,0.14753109,1,1,1
-2.4103112,0.5083756,1,1,1
-2.428705,-0.5006758,1,1,1
1.3991872,-2.5418854,0,0,1
0.54992294,-1.2226124,0,1,0
0.7633975,-1.0041156,0,0,1
-3.096612,-2.9314032,1,1,1
-2.7344236,0.98324525,1,1,1
-3.5359356,-3.413716,1,1,1
-2.6654458,-2.242237,1,1,1
-4.030342,2.0986946,1,1,1
-0.8685688,-0.9981091,0,0,1
-3.0665565,-3.6749322,0,0,1
1.0069977,-1.1388185,0,1,0
-2.9417987,-2.478874,1,1,1
-2.3145719,-2.4295235,0,0,1
-1.0086521,-0.98300076,1,0,0
-1.6361474,0.31110382,1,1,1
-0.4521851,-1.1539868,0,0,1
0.039353482,-0.36162215,0,1,0
-0.1079607,-0.13106048,0,1,0
0.87212884,-2.2851958,0,0,1
-1.3986516,0.34850687,1,1,1
