,log_prob_0,log_prob_1,higher_prob,label,calibrated
993,1.564202,-0.0860447,0,1,0
859,1.4997826,0.27537918,0,0,1
298,2.537441,-0.017408371000000002,0,1,0
553,1.24833,0.32063590000000003,0,0,1
672,1.9748721999999999,-0.7218971,0,0,1
971,1.6380086999999999,0.35866004,0,1,0
27,1.9472351000000003,0.5188233,0,0,1
231,1.8811091,-0.30880287,0,1,0
306,2.1943722,0.5181180999999999,0,1,0
706,2.5672933999999996,0.3401884,0,0,1
496,2.0417614,-0.6731413,0,0,1
558,1.5710893,0.6709141,0,1,0
784,1.5885519,-0.7720872,0,1,0
239,1.6822028999999998,0.21051604,0,0,1
578,1.4242066999999998,-0.42294145,0,1,0
55,1.3093481000000002,0.24373187,0,1,0
906,2.0935373,1.1210374,0,0,1
175,1.9031770000000001,0.22173417,0,1,0
14,1.1438416999999999,0.29825765,0,1,0
77,1.5394707,0.070580244,0,1,0
31,1.3935988000000001,-0.77253807,0,1,0
481,1.4361905000000001,0.5390151999999999,0,1,0
310,1.7793932000000001,-0.9261396000000001,0,0,1
311,0.88593847,-0.23853448,0,1,0
883,1.4540913,-0.66240686,0,0,1
788,1.6060503000000002,-0.79732895,0,0,1
45,1.2815892,0.44169167,0,1,0
103,1.7079836,0.030680597,0,0,1
760,2.4828490000000003,0.4940545,0,0,1
1,2.0791452,0.35277220000000004,0,0,1
823,2.2618291,0.24923247,0,0,1
710,0.6893431,0.7067137,1,1,1
614,-0.1272152,-1.0204687,0,0,1
790,0.15999314,-0.48007646,0,0,1
408,1.220101,-1.2099001,0,1,0
736,1.4642262,-0.027999878,0,1,0
957,1.6877848000000002,0.5008875,0,1,0
366,2.4236445,0.44126308,0,0,1
918,1.8903165000000002,-0.6858826,0,0,1
267,1.8273965,0.42570782,0,1,0
230,2.0045223,-0.04248163,0,0,1
996,1.8554346999999998,-1.2042966,0,0,1
635,2.0467299999999997,-0.3366955,0,0,1
698,1.8496561000000002,-0.19473681,0,1,0
251,1.6896142,-0.9982115,0,0,1
783,1.6503995999999999,-0.31865728,0,1,0
819,2.3996706000000003,-0.15614483,0,0,1
141,2.1362400000000004,0.29136449999999997,0,0,1
316,1.5319109,-0.96728516,0,1,0
587,1.626013,-0.38218957,0,0,1
331,2.6960203999999997,0.11909518,0,0,1
295,1.4572299,0.05470106,0,1,0
262,1.0821465000000001,-0.6325712,0,1,0
432,1.8382701000000001,0.5309658,0,0,1
862,1.0597615,-0.97598445,0,1,0
582,1.4165232,-0.26034242,0,1,0
272,1.0400175999999999,-0.7076352,0,0,1
270,1.2114668,-0.95092547,0,1,0
987,1.7607453999999998,-0.04506883,0,0,1
319,1.9837589,-0.817334,0,0,1
569,1.7810413,0.38416806,0,0,1
643,1.1340895,-0.26682287,0,1,0
142,1.9728645,0.13296193,0,1,0
202,1.4037008,-0.13173372,0,1,0
413,2.0010505000000003,0.23033431,0,1,0
196,1.289439,-1.0213139,0,1,0
264,1.9225932000000001,0.07581046,0,0,1
531,1.9082624,-0.45347655,0,0,1
252,2.192418,0.28819716,0,0,1
576,1.800028,-0.096649736,0,1,0
738,0.7297123000000001,-0.7312031999999999,0,1,0
299,1.9443275000000002,-0.30719385,0,1,0
740,1.4347807,-0.063933045,0,1,0
247,2.4123982999999996,0.25948143,0,1,0
926,2.1112127,0.32795054,0,1,0
412,1.8248209999999998,0.35266149999999996,0,1,0
389,2.125077,0.29988897,0,1,0
796,1.5062883,-0.6371604000000001,0,1,0
601,1.7723944,-0.48983064,0,1,0
654,2.1487098,0.28007695,0,1,0
261,1.9422808,-0.12824839999999998,0,0,1
456,1.9174023,0.2825762,0,1,0
386,1.1953325000000001,-0.47524822,0,0,1
982,1.2659808000000001,-0.36059427,0,1,0
909,2.0321872,-0.11401289999999999,0,0,1
693,1.4032676000000002,0.16740799,0,0,1
236,0.0069195926,-0.5735736,0,1,0
501,1.7578721999999998,-0.38392967,0,1,0
497,1.3109927,-0.20603636,0,1,0
874,2.006442,-0.4514174,0,1,0
452,2.191944,0.2628199,0,1,0
494,1.6656604,-0.2706215,0,1,0
923,2.1582122000000004,0.2865867,0,0,1
279,1.0786207,-0.20736372,0,1,0
638,1.8458143,-0.27822533,0,0,1
485,1.2049105,-0.6063360999999999,0,1,0
568,2.3212990000000002,0.23907238,0,0,1
108,2.2639303,0.26952466,0,0,1
367,1.3201125,-0.87477887,0,0,1
644,2.0753348000000003,-0.44943774,0,0,1
785,1.1206095,-0.6413460999999999,0,0,1
873,1.8207547999999998,-0.059096515,0,0,1
65,1.8919854,-0.36278847,0,1,0
902,1.9284647000000001,0.5978606,0,0,1
317,2.0823808,0.0115481615,0,0,1
636,2.0107934,0.068829894,0,0,1
666,1.6113076000000002,-0.90686524,0,1,0
