,log_prob_0,log_prob_1,higher_prob,label,calibrated
993,0.7279286,-0.2013073,0,0,1
859,-2.073477,-1.5223479,1,1,1
298,-0.059541105999999996,0.7065619000000001,1,1,1
553,0.37531483,-1.0533709999999998,0,0,1
672,1.4535879999999999,-0.8196103000000001,0,0,1
971,0.32338113,1.1708086000000002,1,1,1
27,0.93568945,0.2498656,0,0,1
231,-0.081486285,1.2889401000000003,1,1,1
306,-2.0108685,-3.0673347,0,0,1
706,1.4600444,0.47291237,0,0,1
496,-1.062936,-1.3614044,0,1,0
558,-0.80335754,0.35031974,1,1,1
784,-0.6698794,-0.7862210999999999,0,0,1
239,0.6279081999999999,-1.1947045,0,0,1
578,-2.7336139999999998,-2.7260067,1,1,1
55,0.28060025,0.9843272,1,1,1
906,0.16250925,-0.14214012,0,0,1
175,-0.4282483,-0.9300886999999999,0,0,1
14,0.9705184000000001,0.48904774,0,0,1
77,-0.82739174,-1.7771819,0,0,1
31,0.2898507,0.2498424,0,0,1
481,0.7638085,1.3611928,1,1,1
310,0.8272091999999999,-0.0010097325,0,0,1
311,0.26556718,-0.12502536,0,0,1
883,-1.144388,-0.30755514,1,1,1
788,-0.14480685,0.79854816,1,1,1
45,-0.225584,-0.72402996,0,0,1
103,-2.0898843,-0.22671384,1,1,1
760,-0.37286747,-0.30008554,1,0,0
1,-0.16758978,-1.2929950000000001,0,0,1
823,1.4976649,-0.38224405,0,0,1
710,-0.714832,1.2627673000000001,1,1,1
614,-0.08009651,-0.3010926,0,0,1
790,1.2296395,0.66947764,0,0,1
408,-1.6093795,0.37906337,1,1,1
736,0.67965424,0.50824106,0,1,0
957,0.9023129999999999,-0.02401334,0,0,1
366,0.10331911,0.9062563,1,1,1
918,-0.2617371,-0.4899343,0,0,1
267,0.30929044,0.4204733,1,1,1
230,-1.5618074,0.8220958,1,1,1
996,0.21317786,0.9787745999999999,1,1,1
635,0.22158694,0.21403936,0,1,0
698,0.13633585,-1.7483267,0,0,1
251,0.62775713,0.7033155,1,0,0
783,-0.19053989999999998,0.9613060999999999,1,1,1
819,-0.8712388000000001,-0.81414616,1,0,0
141,0.63198406,-0.044928312000000005,0,0,1
316,-0.7861451,-1.2451956,0,0,1
587,0.34239,0.70936835,1,1,1
331,0.7717142,-1.3107178,0,0,1
295,-0.40607607,0.42731398,1,1,1
262,0.51815206,-0.46951732,0,0,1
432,0.76839703,0.18020928,0,0,1
862,-0.93507063,-0.025796682,1,1,1
582,0.4851518,0.4292432,0,1,0
272,-0.6003427,0.6595799,1,1,1
270,-0.9929478,-0.14818156,1,1,1
987,-0.6017031999999999,-0.008286655,1,1,1
319,-0.041711316,-2.0564709,0,0,1
569,1.9335628,-0.23405892,0,0,1
643,1.288141,-0.85809857,0,0,1
142,-0.19990213,-0.6029932,0,0,1
202,-1.7900098999999998,0.22746962,1,1,1
413,0.6095851,0.7258817,1,1,1
196,0.78193074,0.7729871,0,1,0
264,1.2426707000000001,0.24274695,0,0,1
531,0.46398795,0.50472736,1,1,1
252,-4.6098404,-4.707053,0,1,0
576,-0.3572103,0.16350803,1,1,1
738,-0.0813424,-0.32224655,0,0,1
299,-0.5968846999999999,0.43093386,1,1,1
740,0.37036398,-2.5183756,0,0,1
247,0.6026129,0.66936463,1,1,1
926,0.69897974,-0.6758409000000001,0,0,1
412,0.58265114,-1.9590003,0,0,1
389,-0.078159936,0.9935421999999998,1,1,1
796,-0.03331399,1.1212278999999998,1,1,1
601,0.18705833,-1.3342311000000002,0,0,1
654,0.5920939000000001,1.5504360000000001,1,1,1
261,-3.5381746,-2.7366307,1,1,1
456,0.27330256,0.42400908,1,0,0
386,0.0068316159999999996,0.83890724,1,1,1
982,-2.2244177000000005,-2.468082,0,0,1
909,0.84417915,-0.50808465,0,0,1
693,1.0370141,-1.5436895,0,0,1
236,1.0067586,0.8562726999999999,0,0,1
501,0.6170298000000001,1.2757108,1,1,1
497,0.32489687,-1.4138508,0,0,1
874,0.8434583000000001,-0.08245298,0,0,1
452,-0.47624266,1.0719786,1,1,1
494,1.2591435,0.5820681,0,0,1
923,0.62049675,1.2831447,1,1,1
279,0.2623997,0.56331223,1,0,0
638,0.30633712,-1.0872167,0,0,1
485,0.75742555,0.021069467,0,0,1
568,-0.09011711,0.8549739,1,0,0
108,-0.86399525,0.76420194,1,1,1
367,-1.404283,0.5894019,1,1,1
644,-0.9663568000000001,-0.12268555,1,0,0
785,1.1258976,0.59349716,0,0,1
873,1.0918347,-0.086672395,0,0,1
65,-1.255298,0.7215116,1,1,1
902,-0.084323525,-0.14725742,0,0,1
317,0.24228358,-1.1344862,0,0,1
636,1.5542829,1.0732872,0,1,0
666,0.21835303,0.7930488,1,1,1
789,-0.51995003,-0.35774988,1,0,0
958,0.128975,-0.56831414,0,0,1
214,0.56617516,0.9095514000000001,1,1,1
97,1.2129669,0.13639414,0,0,1
583,0.6400014,0.20444807,0,0,1
466,-2.4316032,-2.7308209999999997,0,0,1
523,-0.9323336999999999,1.1803449,1,1,1
255,-1.6794417000000001,-1.8172665000000001,0,1,0
