,log_prob_0,log_prob_1,higher_prob,label,calibrated
993,1.8850036000000001,0.055584967,0,1,0
859,0.37273976,-0.36636940000000007,0,1,0
298,2.5838227000000002,0.036762893,0,0,1
553,1.9247028000000002,0.03903073,0,0,1
672,3.1490774,0.43182603,0,1,0
971,1.8194659,-0.7889849,0,0,1
27,0.4392823,-0.09116471,0,1,0
231,0.8291921999999998,-0.67226833,0,0,1
306,1.3202908000000002,0.16791514,0,0,1
706,1.7125105,-0.38487983,0,1,0
496,2.3966966,-0.7285071999999999,0,1,0
558,1.561223,-1.021539,0,1,0
784,1.6287483,0.03790626,0,1,0
239,2.2820497000000004,0.137956,0,0,1
578,1.052449,-0.41532916,0,1,0
55,2.1416056,-0.031393707,0,0,1
906,1.1074972,0.19716853,0,1,0
175,0.7639657,-1.3942723999999997,0,0,1
14,1.8907447,-0.12244144,0,0,1
77,1.0164888,0.3618557,0,1,0
31,2.5081234,0.12995327,0,0,1
481,1.7358471999999998,-0.5844593000000001,0,0,1
310,0.909018,-0.7892623000000001,0,1,0
311,1.000372,0.17454118,0,1,0
883,1.1876792999999999,-0.05807042,0,1,0
788,2.5051498,0.60450476,0,0,1
45,1.7329197,0.6975558000000001,0,0,1
103,2.204287,-0.46293807,0,1,0
760,2.8029509999999997,-0.8590742,0,0,1
1,2.7063017000000005,-0.04765266,0,0,1
823,1.6122649,0.082927555,0,1,0
710,2.1818922,0.04823327,0,0,1
614,1.5696567,-0.85418564,0,1,0
790,0.6830974,-0.50709176,0,0,1
408,1.4894450000000001,-0.23873073,0,1,0
736,2.1148481,0.0013270378,0,0,1
957,0.9776609,0.68465286,0,1,0
366,1.0831069,-1.0377634,0,0,1
918,1.6139324,-1.1612308999999998,0,0,1
267,1.1333568,-0.81424034,0,0,1
230,1.6444439999999998,-0.5813986,0,0,1
996,0.25498244,-0.7418963000000001,0,0,1
635,1.5005708999999998,0.7670372,0,1,0
698,1.5262372,-0.32012537,0,1,0
251,1.3630913,-0.41382235,0,1,0
783,1.6513488,-0.2979324,0,1,0
819,-0.046487123,-0.90498424,0,0,1
141,1.7537448,0.96751726,0,1,0
316,1.6747493000000002,-0.38443834,0,0,1
587,2.1324772999999997,-0.09643826,0,1,0
331,2.1464114,0.01713106,0,0,1
295,1.6158968999999999,-1.0871383999999997,0,0,1
262,0.8240101000000001,-1.3407831000000001,0,1,0
432,1.4421527,-1.2882755,0,0,1
862,1.6739849999999998,-0.09816326,0,0,1
582,2.416558,-0.7402479999999999,0,0,1
272,1.0129414,0.09533191,0,1,0
270,2.0021782,0.7911159999999999,0,0,1
987,1.9466386000000002,-0.78981125,0,0,1
319,2.5314248,-0.3205345,0,1,0
569,1.5868915000000001,-0.8877171,0,0,1
643,2.051817,-0.5404681,0,1,0
142,3.2188852000000003,-0.17692858,0,0,1
202,1.7485147,-1.28214,0,0,1
413,2.0824196,-0.6342929,0,0,1
196,1.8113740000000003,-0.18532652,0,0,1
264,1.2590152000000001,0.0043206513,0,1,0
531,1.1645341,-0.071938634,0,1,0
252,1.6004901000000002,-1.2091693000000001,0,1,0
576,2.0225592,-0.15036604,0,0,1
738,1.3536172,-0.03845033,0,1,0
299,1.7166235,0.37473726,0,1,0
740,2.4295666000000002,0.15995121,0,1,0
247,1.2260232,-0.40982047,0,0,1
926,2.7760696,0.7173715,0,0,1
412,1.8328308999999998,0.36224663,0,1,0
389,1.4796591000000001,1.0377109,0,1,0
796,0.31612524,-0.19050068,0,0,1
601,2.2358662999999996,0.3460052,0,0,1
654,1.0744898,-0.09015024,0,1,0
261,1.4212396,-1.5291462,0,1,0
456,1.8735378,0.17249441,0,0,1
386,1.3170859,-0.021606266000000002,0,0,1
982,2.2899382,1.0271764,0,1,0
909,1.5560167,-1.1070057,0,0,1
693,1.8604195,0.3835774,0,1,0
236,1.6824192999999998,-0.32710925,0,0,1
501,1.0057532,-1.282448,0,0,1
497,1.1240636999999998,-0.018950373,0,1,0
874,1.9420654999999998,-0.27256256,0,0,1
452,2.0231220000000003,0.0081445575,0,0,1
494,1.1333486000000002,-0.552285,0,1,0
923,-5.4103394,-5.167206,1,1,1
279,1.892096,0.15462127,0,1,0
638,1.1284177,-0.70825094,0,0,1
485,1.9379718000000001,-1.1151655,0,0,1
568,1.5110799,-0.4153291,0,1,0
108,-0.023172885,-0.05691254,0,1,0
367,1.8625490000000002,0.34353945,0,0,1
644,1.9063710999999999,-1.1675787,0,0,1
785,-0.23480082,-0.20473038,1,1,1
873,1.6433331999999998,-0.0047600716,0,1,0
65,2.3788657000000004,-0.6938491,0,0,1
902,1.1018281,-0.72873634,0,1,0
