,log_prob_0,log_prob_1,higher_prob,label,calibrated
993,-0.48790175,-1.1220089,0,0,1
859,-0.53630733,1.4518833,1,1,1
298,-0.72041446,-0.09878045,1,1,1
553,-0.92604274,-0.7228127,1,1,1
672,1.0495055,0.5364943,0,0,1
971,-0.5717026,-0.787963,0,0,1
27,0.46217164,0.15024757,0,0,1
231,-0.6192966,-0.5713609000000001,1,0,0
306,-4.19606,-4.163261400000001,1,1,1
706,-0.25564194,0.96014935,1,0,0
496,0.9592415000000001,0.8111341,0,0,1
558,0.48792067,1.0860089,1,1,1
784,0.31733832,1.0229535,1,1,1
239,-0.8929334999999999,0.9286168,1,1,1
578,0.21180794,1.2245461000000002,1,1,1
55,-1.4274479,-2.167605,0,0,1
906,-1.1404755,-0.72265005,1,1,1
175,0.80472803,0.7545333000000001,0,0,1
14,0.75726277,-0.78393763,0,0,1
77,-0.04484743,0.13800514,1,1,1
31,1.663786,0.13663772,0,0,1
481,1.2270328000000001,0.35039115,0,0,1
310,1.5404903,1.4991152,0,0,1
311,-1.7521936999999999,2.346409,1,1,1
883,0.5406684,1.2762475,1,0,0
788,-1.4719212,-1.2601636999999999,1,0,0
45,-1.7684134999999999,-1.6604035,1,1,1
103,-0.41212192,0.6559501,1,1,1
760,0.7598272,-0.6275748000000001,0,0,1
1,-1.1440257,-0.65364957,1,1,1
823,-1.9891504,-2.048765,0,1,0
710,-0.08193588,2.0701447,1,1,1
614,0.09386414,0.044623375,0,0,1
790,-1.4719993999999998,-1.4079875,1,0,0
408,1.4637308,0.82848734,0,0,1
736,1.1442166999999999,1.5139782,1,0,0
957,0.11773731,1.7147896,1,1,1
366,1.0949521999999998,2.0957525,1,0,0
918,1.5745351,0.48834026,0,0,1
267,1.462225,1.1255296000000001,0,0,1
230,-2.7249103,0.46176922,1,1,1
996,1.4653323,1.6860411,1,1,1
635,-1.1594659999999999,-0.86487854,1,1,1
698,1.3319309,1.4609683,1,1,1
251,-2.1579306000000003,-1.1729717,1,1,1
783,0.28431493,0.3294288,1,0,0
819,0.7995616999999999,0.18806773,0,0,1
141,-0.25903028,1.4605243,1,1,1
316,-1.2632457000000001,-0.0011997819000000001,1,1,1
587,0.88720864,0.39235184,0,0,1
331,-1.2797072,-1.4212132,0,0,1
295,1.0019565000000001,1.6468284,1,1,1
262,1.1629874,-0.83174986,0,0,1
432,0.63637304,0.5129043,0,0,1
862,0.39155993,1.9063006999999998,1,1,1
582,-0.9569473,0.43903154,1,1,1
272,0.46625865,0.26123267,0,0,1
270,-0.67276967,-0.38597363,1,1,1
987,-2.9094331,-3.5567162000000003,0,0,1
319,0.30310345,0.59820914,1,0,0
569,-2.746118,0.009240805999999999,1,1,1
643,-0.42389659999999996,2.1787217,1,1,1
142,-1.8396113,1.1044999,1,1,1
202,-0.2833498,-0.62230533,0,0,1
413,1.9672266999999999,1.5743709,0,0,1
196,-0.3262816,-0.036703825,1,0,0
264,-2.7651967999999996,-1.9069965,1,1,1
531,0.43772978,1.1205903,1,0,0
252,0.12742525,0.9030360999999999,1,0,0
576,-0.30805618,1.7697939999999999,1,1,1
738,-2.2816412,-2.0934882,1,1,1
299,-1.5570022,1.0022393,1,1,1
740,-1.8336316000000004,-1.9392183,0,1,0
247,-1.7009987000000002,-1.8576986,0,0,1
926,-0.33687090000000003,-0.5468306,0,0,1
412,1.8191658,1.3353066,0,0,1
389,-1.6829485,2.4675417,1,1,1
796,-1.5877421,-0.48686448,1,1,1
601,-3.6761231,-3.7934704,0,0,1
654,0.5767274,1.7786604,1,0,0
261,-0.10381509,-0.061289727999999995,1,0,0
456,-2.0907488,-2.107424,0,1,0
386,1.3436482,0.102816224,0,0,1
982,-3.3478165,-3.348206,0,1,0
909,-0.41291595,1.2400253,1,1,1
693,0.2553814,1.6143085,1,1,1
236,-0.10844958,0.36289543,1,0,0
501,-3.7329822,-3.7299302000000005,1,1,1
497,1.4809492,0.9100226,0,0,1
874,-4.117503,-4.314521,0,1,0
452,-0.42981017,1.3089549999999999,1,1,1
494,-0.43011028,-0.7502265,0,0,1
923,1.1426805,0.48930076,0,0,1
279,0.59062624,0.4947235,0,0,1
638,-0.33839208,0.6042215999999999,1,1,1
485,-0.56807226,-0.9812529000000001,0,0,1
568,-2.4555957000000004,0.99596417,1,1,1
108,0.000106692314,-0.20754877,0,0,1
367,-1.3548086000000001,-1.3524056999999998,1,0,0
644,-0.17178643,0.093755245,1,0,0
785,-0.74505365,-0.84687257,0,0,1
873,-3.2901656999999997,-3.0319013999999997,1,1,1
65,-1.7360618000000003,1.3332309,1,1,1
902,-2.07868,-1.4827355,1,1,1
317,-1.261806,1.2989392,1,1,1
636,-2.9267352000000004,-2.8342996,1,1,1
666,1.7666177,1.1848908999999999,0,0,1
789,-3.6613314,-3.8127932999999996,0,1,0
958,0.65203905,0.11788541,0,0,1
214,-0.40464115,1.0722136,1,1,1
97,-0.70673,-0.8487587999999999,0,0,1
583,0.5573031999999999,1.6885834,1,0,0
466,-1.7493028999999998,0.707649,1,1,1
523,-1.8829057,-1.2940610000000001,1,1,1
255,1.4614396,-0.23794419,0,0,1
385,-1.6176698,-0.33226952,1,1,1
545,1.0120049,1.1835659,1,0,0
382,1.4152358,0.94784844,0,0,1
489,-0.20465082,0.339221,1,0,0
513,-1.5611815,-1.9057654,0,0,1
780,1.0887283,-0.45010188,0,0,1
904,0.71315455,-0.025874257,0,0,1
122,-0.20825833,1.6791606,1,1,1
946,0.92845875,1.4579782,1,0,0
60,-0.025165677,0.8469617,1,0,0
844,0.29608718,0.19764239,0,0,1
372,0.97535217,0.9780405000000001,1,0,0
283,0.09585354,1.3462370000000001,1,1,1
939,-0.5512098000000001,1.9456494,1,1,1
608,-0.53768265,1.6966118000000001,1,1,1
495,-0.499408,-0.57392216,0,0,1
630,-1.2734215,-1.5921861000000002,0,0,1
596,0.08829847,1.4809375,1,1,1
713,-1.7187734000000001,-1.8922363999999998,0,1,0
753,-0.72096825,1.4967641999999999,1,1,1
624,-1.2541043,-1.0825611000000002,1,1,1
312,0.813766,1.5495386,1,0,0
8,-0.32244829999999997,-0.43670893,0,0,1
529,1.1947907,1.397607,1,0,0
876,-0.22235078,0.11199966,1,1,1
101,-0.082268715,0.8427759,1,1,1
615,-0.92773473,1.3614422,1,1,1
520,-1.2683568,-0.047314405,1,1,1
249,-1.3219277,-1.3725321000000001,0,0,1
278,-2.4536216,-2.5232415,0,1,0
424,1.8512012999999998,1.286524,0,0,1
384,-0.82321495,0.65924263,1,1,1
395,1.0711952,-0.4940960999999999,0,0,1
54,1.7600770000000001,0.9541905999999999,0,0,1
34,-4.074329,-4.1428175000000005,0,1,0
271,1.4975386999999998,0.6994630999999999,0,0,1
30,0.015218675,1.0450436,1,0,0
