time,model,dataset,prompt_idx,num_data,population,prefix,cal_zeroshot,cal_hiddenstates,log_probs,calibrated,tag
2023-03-16 05:20:52,roberta-large-mnli,imdb,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,5,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,6,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,7,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,8,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,9,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,10,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,11,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,imdb,12,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,5,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,6,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,7,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,8,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,9,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,amazon-polarity,10,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,5,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,6,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,ag-news,7,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,5,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,6,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,dbpedia-14,7,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,0,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,1,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,2,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,3,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,4,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,5,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,6,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,7,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,copa,8,,500,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,5,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,6,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,7,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,8,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,9,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,rte,10,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,5,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,6,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,7,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,8,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,boolq,9,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,qnli,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,qnli,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,qnli,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,qnli,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,qnli,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,0,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,1,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,2,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,3,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,4,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,5,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,6,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,7,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,8,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,9,,1000,normal,False,True,,,
2023-03-16 05:20:52,roberta-large-mnli,piqa,10,,1000,normal,False,True,,,
2023-03-16 13:11:37,roberta-large-mnli,imdb,0,,1000,normal,True,True,0.897,0.895,
2023-03-16 13:11:37,roberta-large-mnli,imdb,1,,1000,normal,True,True,0.88,0.885,
2023-03-16 13:11:37,roberta-large-mnli,imdb,2,,1000,normal,True,True,0.757,0.753,
2023-03-16 13:11:37,roberta-large-mnli,imdb,3,,1000,normal,True,True,0.899,0.899,
2023-03-16 13:11:37,roberta-large-mnli,imdb,4,,1000,normal,True,True,0.7190000000000001,0.8009999999999999,
2023-03-16 13:11:37,roberta-large-mnli,imdb,5,,1000,normal,True,True,0.882,0.884,
2023-03-16 13:11:37,roberta-large-mnli,imdb,6,,1000,normal,True,True,0.8190000000000001,0.857,
2023-03-16 13:11:37,roberta-large-mnli,imdb,7,,1000,normal,True,True,0.898,0.8959999999999999,
2023-03-16 13:11:37,roberta-large-mnli,imdb,8,,1000,normal,True,True,0.818,0.8079999999999999,
2023-03-16 13:11:37,roberta-large-mnli,imdb,9,,1000,normal,True,True,0.8759999999999999,0.8640000000000001,
2023-03-16 13:11:37,roberta-large-mnli,imdb,10,,1000,normal,True,True,0.885,0.883,
2023-03-16 13:11:37,roberta-large-mnli,imdb,11,,1000,normal,True,True,0.8759999999999999,0.873,
2023-03-16 13:11:37,roberta-large-mnli,imdb,12,,1000,normal,True,True,0.789,0.847,
2023-03-16 18:28:29,roberta-large-mnli,imdb,0,,1000,normal,True,True,0.897,0.895,
2023-03-16 18:28:29,roberta-large-mnli,imdb,1,,1000,normal,True,True,0.88,0.885,
2023-03-16 18:28:29,roberta-large-mnli,imdb,2,,1000,normal,True,True,0.757,0.753,
2023-03-16 18:28:29,roberta-large-mnli,imdb,3,,1000,normal,True,True,0.899,0.899,
2023-03-16 18:28:29,roberta-large-mnli,imdb,4,,1000,normal,True,True,0.7190000000000001,0.8009999999999999,
2023-03-16 18:28:29,roberta-large-mnli,imdb,5,,1000,normal,True,True,0.882,0.884,
2023-03-16 18:28:29,roberta-large-mnli,imdb,6,,1000,normal,True,True,0.8190000000000001,0.857,
2023-03-16 18:28:29,roberta-large-mnli,imdb,7,,1000,normal,True,True,0.898,0.8959999999999999,
2023-03-16 18:28:29,roberta-large-mnli,imdb,8,,1000,normal,True,True,0.818,0.8079999999999999,
2023-03-16 18:28:29,roberta-large-mnli,imdb,9,,1000,normal,True,True,0.8759999999999999,0.8640000000000001,
2023-03-16 18:28:29,roberta-large-mnli,imdb,10,,1000,normal,True,True,0.885,0.883,
2023-03-16 18:28:29,roberta-large-mnli,imdb,11,,1000,normal,True,True,0.8759999999999999,0.873,
2023-03-16 18:28:29,roberta-large-mnli,imdb,12,,1000,normal,True,True,0.789,0.847,
2023-03-17 03:07:52,roberta-large-mnli,ag-news,0,,1000,normal,True,True,0.492,0.671,
2023-03-17 03:07:52,roberta-large-mnli,ag-news,1,,1000,normal,True,True,0.499,0.651,
2023-03-17 03:07:52,roberta-large-mnli,ag-news,2,,1000,normal,True,True,0.541,0.74,
2023-03-17 03:07:52,roberta-large-mnli,ag-news,3,,1000,normal,True,True,0.496,0.672,
