log_prob_0,log_prob_1,higher_prob,label,calibrated
2.2289834,-0.0067024827,0,0,1
2.0791452,0.3527722,0,0,1
2.7576182,0.01587528,0,0,1
1.324268,-0.26197624,0,0,1
1.7614871,0.039470404,0,1,0
1.3127563,-1.0271063,0,1,0
1.6822877,0.27163464,0,0,1
1.6631223,0.37947893,0,0,1
1.6347001,0.38111126,0,0,1
1.0514466,-0.4816243,0,1,0
1.6807207,-0.22004929,0,0,1
1.1710107,0.5105985,0,1,0
2.4144373,-0.5583083,0,0,1
1.1022731,0.5235081,0,0,1
1.1438417,0.29825765,0,1,0
1.2980605,-1.1193099,0,1,0
1.7499564,-0.22194755,0,1,0
1.695809,0.11909902,0,1,0
1.9394531,0.05220428,0,0,1
2.0295885,-0.6166671,0,0,1
1.695243,0.1437746,0,1,0
2.321341,0.11211336,0,0,1
0.263447,0.14246288,0,1,0
1.2694745,-0.32613382,0,1,0
2.1312444,0.33464903,0,0,1
2.293803,0.37591067,0,0,1
1.5297077,0.33978638,0,1,0
1.9472351,0.5188233,0,0,1
1.3118793,-0.68818015,0,0,1
1.6118754,-0.43607178,0,1,0
1.172425,-0.24259022,0,0,1
1.3935988,-0.77253807,0,1,0
1.3822079,-0.14556599,0,1,0
1.5428432,0.061557353,0,0,1
1.3887284,-0.258901,0,1,0
2.0983994,-0.13054311,0,0,1
2.4506886,0.44285166,0,0,1
2.2230606,0.3898247,0,1,0
1.5084839,-0.73117757,0,1,0
1.6340604,0.0070004463,0,0,1
1.114765,-0.57211256,0,0,1
2.005842,0.6851134,0,1,0
1.348243,-0.62723935,0,0,1
1.9807246,-0.65525234,0,0,1
0.93406105,-0.51692396,0,0,1
1.2815892,0.44169167,0,1,0
1.5368749,-0.09915477,0,1,0
1.0897601,-1.1067247,0,1,0
1.6056441,-0.34531757,0,1,0
2.2496905,0.5292012,0,0,1
2.1443439,-0.5614231,0,0,1
1.30996,-0.3496612,0,0,1
1.981919,0.40401068,0,0,1
1.1667072,-0.5290062,0,0,1
1.3756349,-0.6579574,0,0,1
1.3093481,0.24373187,0,1,0
1.7608522,-0.91988105,0,0,1
1.8839189,0.48708725,0,0,1
1.6166667,-0.21025258,0,1,0
0.47909355,-1.325264,0,0,1
1.5862622,-1.3088979,0,0,1
1.2204525,0.21752065,0,0,1
1.5388323,-0.72752225,0,0,1
2.322171,0.46529743,0,1,0
2.0369601,0.25720364,0,1,0
1.8919854,-0.36278847,0,1,0
0.39989206,-1.4107965,0,1,0
2.3807075,-0.27493495,0,0,1
1.6591489,-0.13090271,0,1,0
1.7858098,0.13780138,0,1,0
1.1945989,-0.864426,0,1,0
1.2123735,0.015228659,0,1,0
2.0660396,-0.62730837,0,0,1
2.7137501,1.0314103,0,1,0
2.1328583,0.3633119,0,1,0
1.6012173,0.5715384,0,1,0
1.7284853,-0.09906626,0,1,0
1.5394707,0.070580244,0,1,0
1.6036345,-0.166852,0,0,1
1.355073,-0.44766754,0,1,0
1.2568837,-0.3493367,0,1,0
2.362489,0.3973379,0,0,1
1.5437844,-0.34531125,0,0,1
2.5670354,0.17807731,0,1,0
2.4027722,0.22396827,0,0,1
1.4337885,-0.69914573,0,0,1
1.544038,0.049795985,0,1,0
2.0295935,-0.9146977,0,0,1
1.7385416,-0.48932263,0,1,0
0.19380619,-1.3683572,0,0,1
1.7826791,-0.4027902,0,1,0
1.9727342,-0.113499165,0,0,1
1.2539759,-0.44549215,0,1,0
1.8096863,-0.6144651,0,0,1
0.5306246,-0.70210487,0,1,0
2.0552506,1.240058,0,0,1
2.2988024,0.6887773,0,1,0
1.2170025,-0.27358627,0,1,0
1.8012043,0.038328677,0,1,0
2.1830206,-0.49744982,0,0,1
1.8186167,0.17025563,0,1,0
1.2837043,-0.17385024,0,1,0
1.4962225,-0.37916797,0,1,0
1.7079836,0.030680597,0,0,1
1.5714703,-0.31547287,0,0,1
1.7682173,0.3072539,0,0,1
2.139051,-0.55769897,0,0,1
1.5721464,0.30608281,0,1,0
2.2639303,0.26952466,0,0,1
2.3533664,0.5430095,0,0,1
1.9532326,0.15401003,0,0,1
1.400706,-0.19201961,0,1,0
1.8625717,0.8353743,0,0,1
1.813962,0.11341664,0,0,1
1.9965284,-0.4456429,0,1,0
1.795859,-0.070471674,0,1,0
1.574693,-0.24582419,0,0,1
1.6451514,0.0088941455,0,1,0
1.7178054,-0.1027267,0,1,0
1.0434215,-0.43419206,0,1,0
1.3140752,-0.8842299,0,1,0
2.303401,-0.6651704,0,1,0
2.6656475,-0.0057764947,0,1,0
1.3832726,-0.078672916,0,0,1
2.6994348,-0.4369554,0,0,1
1.8930278,0.35932374,0,1,0
1.6491927,-1.0602677,0,0,1
1.2143116,-0.5427564,0,1,0
1.4902549,-0.42685622,0,1,0
2.0424366,0.33810222,0,0,1
1.8801647,-0.31588995,0,1,0
1.9340357,-1.7489889,0,0,1
2.4561067,0.07506558,0,1,0
0.89012265,0.07279402,0,1,0
1.6676164,-0.50656384,0,0,1
1.724574,-0.39041105,0,0,1
1.3945351,-0.45001322,0,1,0
1.2290387,0.06337461,0,1,0
1.3939841,-0.1862247,0,1,0
0.91353464,0.13975483,0,0,1
1.9481347,0.25737306,0,1,0
2.13624,0.2913645,0,0,1
1.9728645,0.13296193,0,1,0
0.9966198,-0.85234344,0,1,0
1.7521288,-0.7490657,0,1,0
1.0355397,-0.87419283,0,0,1
1.772647,-0.075134456,0,1,0
1.5057688,-0.8406893,0,1,0
2.0484667,0.016161263,0,0,1
1.4433765,0.23921502,0,1,0
1.7917752,0.31732452,0,0,1
1.5842211,-0.34062666,0,1,0
1.5494968,-0.97123677,0,0,1
1.1504567,-0.2298405,0,1,0
1.7338928,-0.10416365,0,0,1
1.8694012,-0.06616208,0,0,1
2.1944864,-0.2953434,0,1,0
1.4621229,-0.5321313,0,1,0
1.8897811,0.034291476,0,0,1
2.7014978,0.00038969517,0,0,1
0.9253373,-0.69391257,0,1,0
2.5227723,0.31859562,0,0,1
1.1346135,-0.9504269,0,0,1
2.2114296,0.96084344,0,0,1
0.93504775,-0.35647643,0,0,1
0.7702616,-1.056745,0,0,1
1.6938909,-0.022919089,0,1,0
1.3864143,-0.77423006,0,0,1
1.5114902,-0.7031911,0,0,1
2.2422295,-0.6150306,0,0,1
1.7861247,-0.6341856,0,0,1
1.2954179,-0.27640656,0,0,1
1.5752814,-0.18786201,0,0,1
2.0171344,-0.4359537,0,0,1
1.2837943,-0.522698,0,0,1
1.903177,0.22173417,0,1,0
2.5872808,0.48393923,0,0,1
