log_prob_0,log_prob_1,higher_prob,label,calibrated
-0.8322451,0.9977251,1,1,1
0.21255821,-1.8894439,0,0,1
0.11801797,0.051576853,0,0,1
0.6341504,0.37792063,0,0,1
-2.059978,0.77266365,1,1,1
-0.89153135,1.1557021,1,1,1
0.95590127,-0.336997,0,0,1
0.5137695,-0.88742745,0,0,1
-0.52532685,0.4856857,1,1,1
-0.074457765,0.99594706,1,1,1
0.1216014,1.2328237,1,1,1
-0.95665157,0.597576,1,1,1
-0.21645527,-0.9166359,0,0,1
-1.6473675,1.3889403,1,1,1
0.6374108,0.6961864,1,0,0
-0.055299535,0.53476214,1,1,1
0.48262572,-0.23147658,0,0,1
0.6717479,0.15209529,0,0,1
1.5631263,-0.04128346,0,0,1
-1.674472,-0.18176025,1,1,1
0.97594,-0.4774067,0,0,1
0.12008333,0.33378446,1,1,1
0.074265495,-0.4781914,0,0,1
0.7935395,0.17103681,0,0,1
0.39108258,-0.3303981,0,0,1
-1.7037442,-0.73551846,1,1,1
0.6572195,0.23136823,0,0,1
0.3632347,-0.1110076,0,0,1
-0.01461792,-0.023924202,0,1,0
-1.3809208,0.59410024,1,1,1
0.011427581,0.8953388,1,1,1
0.44458896,0.47224116,1,0,0
0.45412475,0.82591313,1,1,1
-0.22919595,0.49340513,1,1,1
1.2562082,-0.8430742,0,0,1
-1.0428698,-0.8538366,1,0,0
0.92483187,0.23521265,0,0,1
-0.0798209,0.63482535,1,1,1
0.68254745,-0.6128846,0,0,1
-1.3153708,0.1586946,1,1,1
0.5902959,-1.7281426,0,0,1
-0.068406254,-0.6044446,0,0,1
0.45810866,-1.1209435,0,0,1
0.88193196,0.3379299,0,0,1
0.43860653,-0.5844698,0,0,1
0.06164497,0.22453785,1,0,0
-0.027190596,0.6420107,1,1,1
0.95963305,0.4687145,0,0,1
-2.0843842,1.1815586,1,1,1
-0.21718153,-0.19816609,1,1,1
-0.61857516,0.3117128,1,1,1
0.36849266,-1.5740999,0,0,1
0.49005795,0.33721393,0,0,1
0.27533403,-0.7519526,0,0,1
-1.2284262,1.0321887,1,1,1
-1.6249065,0.8909998,1,1,1
