null,0,1,label,selection
"Ursa Major -- Ursa Major is primarily known from the asterism of its main seven relatively bright stars comprising the ``Big Dipper'', ``the Wagon'', ``Charles's Wain'' or ``the Plough'' (among others), with its stellar configuration mimicking the shape of the ``Little Dipper''. 
Question: is the big dipper the same as ursa major
Answer:","Ursa Major -- Ursa Major is primarily known from the asterism of its main seven relatively bright stars comprising the ``Big Dipper'', ``the Wagon'', ``Charles's Wain'' or ``the Plough'' (among others), with its stellar configuration mimicking the shape of the ``Little Dipper''. 
Question: is the big dipper the same as ursa major
Answer:</s></s>No","Ursa Major -- Ursa Major is primarily known from the asterism of its main seven relatively bright stars comprising the ``Big Dipper'', ``the Wagon'', ``Charles's Wain'' or ``the Plough'' (among others), with its stellar configuration mimicking the shape of the ``Little Dipper''. 
Question: is the big dipper the same as ursa major
Answer:</s></s>Yes",0,"['No', 'Yes']"
"What's Eating Gilbert Grape -- Following Arnie's 18th birthday party, Bonnie climbs the stairs to her bedroom for the first time since her husband's suicide. Arnie later tries to wake her but discovers that she has died. The children, not willing to let their mother become the joke of the town by having her corpse lifted from the house by crane, empty their family home of possessions and set it on fire. A year later, Gilbert describes what happened to his family after his mother's death, as Gilbert and his brother Arnie wait by the side of a road for Becky, who arrives with her grandmother, and picks them up. 
Question: does arnie die in what eating gilbert grape
Answer:","What's Eating Gilbert Grape -- Following Arnie's 18th birthday party, Bonnie climbs the stairs to her bedroom for the first time since her husband's suicide. Arnie later tries to wake her but discovers that she has died. The children, not willing to let their mother become the joke of the town by having her corpse lifted from the house by crane, empty their family home of possessions and set it on fire. A year later, Gilbert describes what happened to his family after his mother's death, as Gilbert and his brother Arnie wait by the side of a road for Becky, who arrives with her grandmother, and picks them up. 
Question: does arnie die in what eating gilbert grape
Answer:</s></s>No","What's Eating Gilbert Grape -- Following Arnie's 18th birthday party, Bonnie climbs the stairs to her bedroom for the first time since her husband's suicide. Arnie later tries to wake her but discovers that she has died. The children, not willing to let their mother become the joke of the town by having her corpse lifted from the house by crane, empty their family home of possessions and set it on fire. A year later, Gilbert describes what happened to his family after his mother's death, as Gilbert and his brother Arnie wait by the side of a road for Becky, who arrives with her grandmother, and picks them up. 
Question: does arnie die in what eating gilbert grape
Answer:</s></s>Yes",0,"['No', 'Yes']"
"Total Divas (season 4) -- The series gives viewers an inside look of the lives of WWE Divas from their work within WWE to their personal lives. Behind the scene footage of the Divas is also included. On February 24, 2015, Paige announced Total Divas was renewed for a fourth season, with filming commencing at the end of the month. It was then announced at the end of the season three finale, that the fourth season would premiere on July 7, 2015, moving from Sunday to Tuesday nights. Unlike other WWE programs, most of the performers use their real names instead of their ring names, leading to Cameron, Naomi, Natalya, Jimmy Uso, and Tyson Kidd being referred to as Ariane, Trinity, Nattie, Jon, and TJ respectively. 
Question: will there be a season 4 of total bellas
Answer:","Total Divas (season 4) -- The series gives viewers an inside look of the lives of WWE Divas from their work within WWE to their personal lives. Behind the scene footage of the Divas is also included. On February 24, 2015, Paige announced Total Divas was renewed for a fourth season, with filming commencing at the end of the month. It was then announced at the end of the season three finale, that the fourth season would premiere on July 7, 2015, moving from Sunday to Tuesday nights. Unlike other WWE programs, most of the performers use their real names instead of their ring names, leading to Cameron, Naomi, Natalya, Jimmy Uso, and Tyson Kidd being referred to as Ariane, Trinity, Nattie, Jon, and TJ respectively. 
Question: will there be a season 4 of total bellas
Answer:</s></s>No","Total Divas (season 4) -- The series gives viewers an inside look of the lives of WWE Divas from their work within WWE to their personal lives. Behind the scene footage of the Divas is also included. On February 24, 2015, Paige announced Total Divas was renewed for a fourth season, with filming commencing at the end of the month. It was then announced at the end of the season three finale, that the fourth season would premiere on July 7, 2015, moving from Sunday to Tuesday nights. Unlike other WWE programs, most of the performers use their real names instead of their ring names, leading to Cameron, Naomi, Natalya, Jimmy Uso, and Tyson Kidd being referred to as Ariane, Trinity, Nattie, Jon, and TJ respectively. 
Question: will there be a season 4 of total bellas
Answer:</s></s>Yes",1,"['No', 'Yes']"
"Break-in (mechanical run-in) -- A new engine is broken in by following specific driving guidelines during the first few hours of its use. The focus of breaking in an engine is on the contact between the piston rings of the engine and the cylinder wall. There is no universal preparation or set of instructions for breaking in an engine. Most importantly, experts disagree on whether it is better to start engines on high or low power to break them in. While there are still consequences to an unsuccessful break-in, they are harder to quantify on modern engines than on older models. In general, people no longer break in the engines of their own vehicles after purchasing a car or motorcycle, because the process is done in production. It is still common, even today, to find that an owner's manual recommends gentle use at first (often specified as the first 500 or 1000 kilometres or miles). But it is usually only normal use without excessive demands that is specified, as opposed to light/limited use. For example, the manual will specify that the car be driven normally, but not in excess of the highway speed limit. 
Question: do you need to break in a car
Answer:","Break-in (mechanical run-in) -- A new engine is broken in by following specific driving guidelines during the first few hours of its use. The focus of breaking in an engine is on the contact between the piston rings of the engine and the cylinder wall. There is no universal preparation or set of instructions for breaking in an engine. Most importantly, experts disagree on whether it is better to start engines on high or low power to break them in. While there are still consequences to an unsuccessful break-in, they are harder to quantify on modern engines than on older models. In general, people no longer break in the engines of their own vehicles after purchasing a car or motorcycle, because the process is done in production. It is still common, even today, to find that an owner's manual recommends gentle use at first (often specified as the first 500 or 1000 kilometres or miles). But it is usually only normal use without excessive demands that is specified, as opposed to light/limited use. For example, the manual will specify that the car be driven normally, but not in excess of the highway speed limit. 
Question: do you need to break in a car
Answer:</s></s>No","Break-in (mechanical run-in) -- A new engine is broken in by following specific driving guidelines during the first few hours of its use. The focus of breaking in an engine is on the contact between the piston rings of the engine and the cylinder wall. There is no universal preparation or set of instructions for breaking in an engine. Most importantly, experts disagree on whether it is better to start engines on high or low power to break them in. While there are still consequences to an unsuccessful break-in, they are harder to quantify on modern engines than on older models. In general, people no longer break in the engines of their own vehicles after purchasing a car or motorcycle, because the process is done in production. It is still common, even today, to find that an owner's manual recommends gentle use at first (often specified as the first 500 or 1000 kilometres or miles). But it is usually only normal use without excessive demands that is specified, as opposed to light/limited use. For example, the manual will specify that the car be driven normally, but not in excess of the highway speed limit. 
Question: do you need to break in a car
Answer:</s></s>Yes",0,"['No', 'Yes']"
"Elderflower cordial -- Elderflower cordial is a soft drink made largely from a refined sugar and water solution and uses the flowers of the European elderberry, (Sambucus nigra L.). Historically the cordial has been popular in North Western Europe where it has a strong Victorian heritage. However, versions of an elderflower cordial recipe can be traced back to Roman times. Nowadays it can be found in almost all of the former Roman Empire territory, predominantly in Central Europe, especially in England, Germany, Austria, Slovenia, Romania, Hungary and Slovakia, where people have acquired a special taste for it and still make it in the traditional way. In some countries the drink can be found as an aromatic syrup, sold as a concentrated squash that is mixed with still or sparkling water. Elderflower pressé is a premixed form of this. 
Question: is elderflower cordial the same as elderflower syrup
Answer:","Elderflower cordial -- Elderflower cordial is a soft drink made largely from a refined sugar and water solution and uses the flowers of the European elderberry, (Sambucus nigra L.). Historically the cordial has been popular in North Western Europe where it has a strong Victorian heritage. However, versions of an elderflower cordial recipe can be traced back to Roman times. Nowadays it can be found in almost all of the former Roman Empire territory, predominantly in Central Europe, especially in England, Germany, Austria, Slovenia, Romania, Hungary and Slovakia, where people have acquired a special taste for it and still make it in the traditional way. In some countries the drink can be found as an aromatic syrup, sold as a concentrated squash that is mixed with still or sparkling water. Elderflower pressé is a premixed form of this. 
Question: is elderflower cordial the same as elderflower syrup
Answer:</s></s>No","Elderflower cordial -- Elderflower cordial is a soft drink made largely from a refined sugar and water solution and uses the flowers of the European elderberry, (Sambucus nigra L.). Historically the cordial has been popular in North Western Europe where it has a strong Victorian heritage. However, versions of an elderflower cordial recipe can be traced back to Roman times. Nowadays it can be found in almost all of the former Roman Empire territory, predominantly in Central Europe, especially in England, Germany, Austria, Slovenia, Romania, Hungary and Slovakia, where people have acquired a special taste for it and still make it in the traditional way. In some countries the drink can be found as an aromatic syrup, sold as a concentrated squash that is mixed with still or sparkling water. Elderflower pressé is a premixed form of this. 
Question: is elderflower cordial the same as elderflower syrup
Answer:</s></s>Yes",0,"['No', 'Yes']"
"High-speed rail in the United States -- As of 2017, the California High-Speed Rail Authority is working on the California High Speed Rail project and construction is under way on sections traversing the Central Valley. Phase I will be completed in 2029, and Phase II will likely be completed before 2040. 
Question: will the us ever get high speed rail
Answer:","High-speed rail in the United States -- As of 2017, the California High-Speed Rail Authority is working on the California High Speed Rail project and construction is under way on sections traversing the Central Valley. Phase I will be completed in 2029, and Phase II will likely be completed before 2040. 
Question: will the us ever get high speed rail
Answer:</s></s>No","High-speed rail in the United States -- As of 2017, the California High-Speed Rail Authority is working on the California High Speed Rail project and construction is under way on sections traversing the Central Valley. Phase I will be completed in 2029, and Phase II will likely be completed before 2040. 
Question: will the us ever get high speed rail
Answer:</s></s>Yes",1,"['No', 'Yes']"
"List of sign languages -- There are perhaps three hundred sign languages in use around the world today. The number is not known with any confidence; new sign languages emerge frequently through creolization and de novo (and occasionally through language planning). In some countries, such as Sri Lanka and Tanzania, each school for the deaf may have a separate language, known only to its students and sometimes denied by the school; on the other hand, countries may share sign languages, though sometimes under different names (Croatian and Serbian, Indian and Pakistani). Deaf sign languages also arise outside educational institutions, especially in village communities with high levels of congenital deafness, but there are significant sign languages developed for the hearing as well, such as the speech-taboo languages used in aboriginal Australia. Scholars are doing field surveys to identify the world's sign languages. 
Question: does every country have their own sign language
Answer:","List of sign languages -- There are perhaps three hundred sign languages in use around the world today. The number is not known with any confidence; new sign languages emerge frequently through creolization and de novo (and occasionally through language planning). In some countries, such as Sri Lanka and Tanzania, each school for the deaf may have a separate language, known only to its students and sometimes denied by the school; on the other hand, countries may share sign languages, though sometimes under different names (Croatian and Serbian, Indian and Pakistani). Deaf sign languages also arise outside educational institutions, especially in village communities with high levels of congenital deafness, but there are significant sign languages developed for the hearing as well, such as the speech-taboo languages used in aboriginal Australia. Scholars are doing field surveys to identify the world's sign languages. 
Question: does every country have their own sign language
Answer:</s></s>No","List of sign languages -- There are perhaps three hundred sign languages in use around the world today. The number is not known with any confidence; new sign languages emerge frequently through creolization and de novo (and occasionally through language planning). In some countries, such as Sri Lanka and Tanzania, each school for the deaf may have a separate language, known only to its students and sometimes denied by the school; on the other hand, countries may share sign languages, though sometimes under different names (Croatian and Serbian, Indian and Pakistani). Deaf sign languages also arise outside educational institutions, especially in village communities with high levels of congenital deafness, but there are significant sign languages developed for the hearing as well, such as the speech-taboo languages used in aboriginal Australia. Scholars are doing field surveys to identify the world's sign languages. 
Question: does every country have their own sign language
Answer:</s></s>Yes",0,"['No', 'Yes']"
"Mariana Trench -- This was followed by the unmanned ROVs Kaikō in 1996 and Nereus in 2009. The first three expeditions directly measured very similar depths of 10,902 to 10,916 m (35,768 to 35,814 ft). The fourth was made by Canadian film director James Cameron in 2012. On 26 March, he reached the bottom of the Mariana Trench in the submersible vessel Deepsea Challenger. 
Question: have we reached the bottom of the mariana trench
Answer:","Mariana Trench -- This was followed by the unmanned ROVs Kaikō in 1996 and Nereus in 2009. The first three expeditions directly measured very similar depths of 10,902 to 10,916 m (35,768 to 35,814 ft). The fourth was made by Canadian film director James Cameron in 2012. On 26 March, he reached the bottom of the Mariana Trench in the submersible vessel Deepsea Challenger. 
Question: have we reached the bottom of the mariana trench
Answer:</s></s>No","Mariana Trench -- This was followed by the unmanned ROVs Kaikō in 1996 and Nereus in 2009. The first three expeditions directly measured very similar depths of 10,902 to 10,916 m (35,768 to 35,814 ft). The fourth was made by Canadian film director James Cameron in 2012. On 26 March, he reached the bottom of the Mariana Trench in the submersible vessel Deepsea Challenger. 
Question: have we reached the bottom of the mariana trench
Answer:</s></s>Yes",1,"['No', 'Yes']"
"American Ninja Warrior -- To date only two competitors, rock-climbers Isaac Caldiero and Geoff Britten, have finished the course and achieved ``Total Victory''. Caldiero is the only competitor to win the cash prize. The series premiered on December 12, 2009 on the now-defunct cable channel G4 and now airs on NBC with encore episodes airing on USA Network and NBCSN. 
Question: has there ever been a american ninja warrior
Answer:","American Ninja Warrior -- To date only two competitors, rock-climbers Isaac Caldiero and Geoff Britten, have finished the course and achieved ``Total Victory''. Caldiero is the only competitor to win the cash prize. The series premiered on December 12, 2009 on the now-defunct cable channel G4 and now airs on NBC with encore episodes airing on USA Network and NBCSN. 
Question: has there ever been a american ninja warrior
Answer:</s></s>No","American Ninja Warrior -- To date only two competitors, rock-climbers Isaac Caldiero and Geoff Britten, have finished the course and achieved ``Total Victory''. Caldiero is the only competitor to win the cash prize. The series premiered on December 12, 2009 on the now-defunct cable channel G4 and now airs on NBC with encore episodes airing on USA Network and NBCSN. 
Question: has there ever been a american ninja warrior
Answer:</s></s>Yes",1,"['No', 'Yes']"
"Lemonade stand -- In some areas, lemonade stands are usually in technical violation of several laws, including operation without a business license, lack of adherence to health codes, and sometimes child labor laws. 
Question: do you have to have a license to have a lemonade stand
Answer:","Lemonade stand -- In some areas, lemonade stands are usually in technical violation of several laws, including operation without a business license, lack of adherence to health codes, and sometimes child labor laws. 
Question: do you have to have a license to have a lemonade stand
Answer:</s></s>No","Lemonade stand -- In some areas, lemonade stands are usually in technical violation of several laws, including operation without a business license, lack of adherence to health codes, and sometimes child labor laws. 
Question: do you have to have a license to have a lemonade stand
Answer:</s></s>Yes",1,"['No', 'Yes']"
"Moment of inertia -- Moment of inertia plays the role in rotational kinetics that mass (inertia) plays in linear kinetics - both characterize the resistance of a body to changes in its motion. The moment of inertia depends on how mass is distributed around an axis of rotation, and will vary depending on the chosen axis. For a point-like mass, the moment of inertia about some axis is given by m r 2 (\displaystyle mr^(2)) , where r (\displaystyle r) is the distance of the point from the axis, and m (\displaystyle m) is the mass. For an extended rigid body, the moment of inertia is just the sum of all the small pieces of mass multiplied by the square of their distances from the axis in question. For an extended body of a regular shape and uniform density, this summation sometimes produces a simple expression that depends on the dimensions, shape and total mass of the object. 
Question: does the moment of inertia depend on the axis of rotation
Answer:","Moment of inertia -- Moment of inertia plays the role in rotational kinetics that mass (inertia) plays in linear kinetics - both characterize the resistance of a body to changes in its motion. The moment of inertia depends on how mass is distributed around an axis of rotation, and will vary depending on the chosen axis. For a point-like mass, the moment of inertia about some axis is given by m r 2 (\displaystyle mr^(2)) , where r (\displaystyle r) is the distance of the point from the axis, and m (\displaystyle m) is the mass. For an extended rigid body, the moment of inertia is just the sum of all the small pieces of mass multiplied by the square of their distances from the axis in question. For an extended body of a regular shape and uniform density, this summation sometimes produces a simple expression that depends on the dimensions, shape and total mass of the object. 
Question: does the moment of inertia depend on the axis of rotation
Answer:</s></s>No","Moment of inertia -- Moment of inertia plays the role in rotational kinetics that mass (inertia) plays in linear kinetics - both characterize the resistance of a body to changes in its motion. The moment of inertia depends on how mass is distributed around an axis of rotation, and will vary depending on the chosen axis. For a point-like mass, the moment of inertia about some axis is given by m r 2 (\displaystyle mr^(2)) , where r (\displaystyle r) is the distance of the point from the axis, and m (\displaystyle m) is the mass. For an extended rigid body, the moment of inertia is just the sum of all the small pieces of mass multiplied by the square of their distances from the axis in question. For an extended body of a regular shape and uniform density, this summation sometimes produces a simple expression that depends on the dimensions, shape and total mass of the object. 
Question: does the moment of inertia depend on the axis of rotation
Answer:</s></s>Yes",1,"['No', 'Yes']"
"Fear the Walking Dead -- Fear the Walking Dead is an American post-apocalyptic horror drama television series created by Robert Kirkman and Dave Erickson, that premiered on AMC on August 23, 2015. It is a companion series and prequel to The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard. 
Question: is fear the walking dead based on the comics
Answer:","Fear the Walking Dead -- Fear the Walking Dead is an American post-apocalyptic horror drama television series created by Robert Kirkman and Dave Erickson, that premiered on AMC on August 23, 2015. It is a companion series and prequel to The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard. 
Question: is fear the walking dead based on the comics
Answer:</s></s>No","Fear the Walking Dead -- Fear the Walking Dead is an American post-apocalyptic horror drama television series created by Robert Kirkman and Dave Erickson, that premiered on AMC on August 23, 2015. It is a companion series and prequel to The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard. 
Question: is fear the walking dead based on the comics
Answer:</s></s>Yes",1,"['No', 'Yes']"
"Solar cell -- A solar cell, or photovoltaic cell, is an electrical device that converts the energy of light directly into electricity by the photovoltaic effect, which is a physical and chemical phenomenon. It is a form of photoelectric cell, defined as a device whose electrical characteristics, such as current, voltage, or resistance, vary when exposed to light. Individual solar cell devices can be combined to form modules, otherwise known as solar panels. In basic terms a single junction silicon solar cell can produce a maximum open-circuit voltage of approximately 0.5 to 0.6 volts. 
Question: are solar cells the same as solar panels
Answer:","Solar cell -- A solar cell, or photovoltaic cell, is an electrical device that converts the energy of light directly into electricity by the photovoltaic effect, which is a physical and chemical phenomenon. It is a form of photoelectric cell, defined as a device whose electrical characteristics, such as current, voltage, or resistance, vary when exposed to light. Individual solar cell devices can be combined to form modules, otherwise known as solar panels. In basic terms a single junction silicon solar cell can produce a maximum open-circuit voltage of approximately 0.5 to 0.6 volts. 
Question: are solar cells the same as solar panels
Answer:</s></s>No","Solar cell -- A solar cell, or photovoltaic cell, is an electrical device that converts the energy of light directly into electricity by the photovoltaic effect, which is a physical and chemical phenomenon. It is a form of photoelectric cell, defined as a device whose electrical characteristics, such as current, voltage, or resistance, vary when exposed to light. Individual solar cell devices can be combined to form modules, otherwise known as solar panels. In basic terms a single junction silicon solar cell can produce a maximum open-circuit voltage of approximately 0.5 to 0.6 volts. 
Question: are solar cells the same as solar panels
Answer:</s></s>Yes",0,"['No', 'Yes']"
"A.D. The Bible Continues -- A.D. The Bible Continues (also known as A.D. Kingdom and Empire) is a television miniseries, based on the Bible, and a sequel to the 2013 miniseries, The Bible. It is produced by Roma Downey, Mark Burnett, and Richard Bedser. The limited series began airing on NBC on Easter Sunday, April 5, 2015, in twelve weekly one-hour episodes. The story takes place immediately after the events of The Bible miniseries, beginning with the crucifixion and resurrection of Jesus, and continues with the first ten chapters of the Acts of the Apostles. On July 3, 2015, NBC cancelled A.D. The Bible Continues after one season. However, producers Burnett and Downey plan future biblical productions on their OTT digital channel. 
Question: will there be another season of ad the bible continues
Answer:","A.D. The Bible Continues -- A.D. The Bible Continues (also known as A.D. Kingdom and Empire) is a television miniseries, based on the Bible, and a sequel to the 2013 miniseries, The Bible. It is produced by Roma Downey, Mark Burnett, and Richard Bedser. The limited series began airing on NBC on Easter Sunday, April 5, 2015, in twelve weekly one-hour episodes. The story takes place immediately after the events of The Bible miniseries, beginning with the crucifixion and resurrection of Jesus, and continues with the first ten chapters of the Acts of the Apostles. On July 3, 2015, NBC cancelled A.D. The Bible Continues after one season. However, producers Burnett and Downey plan future biblical productions on their OTT digital channel. 
Question: will there be another season of ad the bible continues
Answer:</s></s>No","A.D. The Bible Continues -- A.D. The Bible Continues (also known as A.D. Kingdom and Empire) is a television miniseries, based on the Bible, and a sequel to the 2013 miniseries, The Bible. It is produced by Roma Downey, Mark Burnett, and Richard Bedser. The limited series began airing on NBC on Easter Sunday, April 5, 2015, in twelve weekly one-hour episodes. The story takes place immediately after the events of The Bible miniseries, beginning with the crucifixion and resurrection of Jesus, and continues with the first ten chapters of the Acts of the Apostles. On July 3, 2015, NBC cancelled A.D. The Bible Continues after one season. However, producers Burnett and Downey plan future biblical productions on their OTT digital channel. 
Question: will there be another season of ad the bible continues
Answer:</s></s>Yes",0,"['No', 'Yes']"
"Ruffed grouse -- The ruffed grouse is sometimes incorrectly referred to as a ``partridge'', an unrelated phasianid, and occasionally confused with the grey partridge, a bird of open areas rather than woodlands. 
Question: is a grouse the same as a partridge
Answer:","Ruffed grouse -- The ruffed grouse is sometimes incorrectly referred to as a ``partridge'', an unrelated phasianid, and occasionally confused with the grey partridge, a bird of open areas rather than woodlands. 
Question: is a grouse the same as a partridge
Answer:</s></s>No","Ruffed grouse -- The ruffed grouse is sometimes incorrectly referred to as a ``partridge'', an unrelated phasianid, and occasionally confused with the grey partridge, a bird of open areas rather than woodlands. 
Question: is a grouse the same as a partridge
Answer:</s></s>Yes",0,"['No', 'Yes']"
"The Child in Time -- Stephen experiences a strange event that he cannot explain: he sees his parents as a young couple in a pub, before they married. The book also deals with his grief and eventually his painful acceptance of the loss of his child. 
Question: do they find kate in a child in time
Answer:","The Child in Time -- Stephen experiences a strange event that he cannot explain: he sees his parents as a young couple in a pub, before they married. The book also deals with his grief and eventually his painful acceptance of the loss of his child. 
Question: do they find kate in a child in time
Answer:</s></s>No","The Child in Time -- Stephen experiences a strange event that he cannot explain: he sees his parents as a young couple in a pub, before they married. The book also deals with his grief and eventually his painful acceptance of the loss of his child. 
Question: do they find kate in a child in time
Answer:</s></s>Yes",0,"['No', 'Yes']"
