null,0,1,label,selection
"Consider the following premise: ''' The photo albums collected dust in the attic. ''' Choice 1: They remained untouched for years.
Choice 2: The family reminisced over the photos.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The photo albums collected dust in the attic. ''' Choice 1: They remained untouched for years.
Choice 2: The family reminisced over the photos.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The photo albums collected dust in the attic. ''' Choice 1: They remained untouched for years.
Choice 2: The family reminisced over the photos.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The man gained weight. ''' Choice 1: He got his suit altered.
Choice 2: He got his shoes shined.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The man gained weight. ''' Choice 1: He got his suit altered.
Choice 2: He got his shoes shined.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The man gained weight. ''' Choice 1: He got his suit altered.
Choice 2: He got his shoes shined.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The woman deleted the email. ''' Choice 1: The sender tried to solicit money from her.
Choice 2: The sender requested a response from her.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The woman deleted the email. ''' Choice 1: The sender tried to solicit money from her.
Choice 2: The sender requested a response from her.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The woman deleted the email. ''' Choice 1: The sender tried to solicit money from her.
Choice 2: The sender requested a response from her.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The mother needed help looking after her children. ''' Choice 1: She sent the children to daycare.
Choice 2: She gave up custody of the children.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The mother needed help looking after her children. ''' Choice 1: She sent the children to daycare.
Choice 2: She gave up custody of the children.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The mother needed help looking after her children. ''' Choice 1: She sent the children to daycare.
Choice 2: She gave up custody of the children.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The woman spotted her friend from across the room. ''' Choice 1: The woman waved.
Choice 2: The woman escaped.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The woman spotted her friend from across the room. ''' Choice 1: The woman waved.
Choice 2: The woman escaped.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The woman spotted her friend from across the room. ''' Choice 1: The woman waved.
Choice 2: The woman escaped.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The woman became famous. ''' Choice 1: Photographers followed her.
Choice 2: Her family avoided her.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The woman became famous. ''' Choice 1: Photographers followed her.
Choice 2: Her family avoided her.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The woman became famous. ''' Choice 1: Photographers followed her.
Choice 2: Her family avoided her.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The secretary put the caller on hold. ''' Choice 1: The caller's phone lost reception.
Choice 2: The caller waited on the line.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The secretary put the caller on hold. ''' Choice 1: The caller's phone lost reception.
Choice 2: The caller waited on the line.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The secretary put the caller on hold. ''' Choice 1: The caller's phone lost reception.
Choice 2: The caller waited on the line.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The tenants were evicted from the apartment. ''' Choice 1: They neglected to pay their rent.
Choice 2: They got along with their landlord.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The tenants were evicted from the apartment. ''' Choice 1: They neglected to pay their rent.
Choice 2: They got along with their landlord.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The tenants were evicted from the apartment. ''' Choice 1: They neglected to pay their rent.
Choice 2: They got along with their landlord.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The woman lavished her friend with flattery. ''' Choice 1: She wanted to ask her friend for a favor.
Choice 2: She was irritated with her friend's whining.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The woman lavished her friend with flattery. ''' Choice 1: She wanted to ask her friend for a favor.
Choice 2: She was irritated with her friend's whining.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The woman lavished her friend with flattery. ''' Choice 1: She wanted to ask her friend for a favor.
Choice 2: She was irritated with her friend's whining.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The girl desired her parent's approval. ''' Choice 1: She ran away from home.
Choice 2: She obeyed her parent's rules.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The girl desired her parent's approval. ''' Choice 1: She ran away from home.
Choice 2: She obeyed her parent's rules.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The girl desired her parent's approval. ''' Choice 1: She ran away from home.
Choice 2: She obeyed her parent's rules.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The screen on the laptop went black. ''' Choice 1: The laptop's warranty expired.
Choice 2: The laptop's battery died.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The screen on the laptop went black. ''' Choice 1: The laptop's warranty expired.
Choice 2: The laptop's battery died.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The screen on the laptop went black. ''' Choice 1: The laptop's warranty expired.
Choice 2: The laptop's battery died.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' My daughter suffered an allergy attack. ''' Choice 1: I encouraged her to take deep breaths.
Choice 2: I took her to the emergency room.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' My daughter suffered an allergy attack. ''' Choice 1: I encouraged her to take deep breaths.
Choice 2: I took her to the emergency room.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' My daughter suffered an allergy attack. ''' Choice 1: I encouraged her to take deep breaths.
Choice 2: I took her to the emergency room.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' I stood on one foot. ''' Choice 1: My balance wavered.
Choice 2: I kneeled down.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' I stood on one foot. ''' Choice 1: My balance wavered.
Choice 2: I kneeled down.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' I stood on one foot. ''' Choice 1: My balance wavered.
Choice 2: I kneeled down.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' My jaw dropped open. ''' Choice 1: I was unhappy.
Choice 2: I was shocked.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' My jaw dropped open. ''' Choice 1: I was unhappy.
Choice 2: I was shocked.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' My jaw dropped open. ''' Choice 1: I was unhappy.
Choice 2: I was shocked.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The woman gave the man her phone number. ''' Choice 1: She was attracted to him.
Choice 2: She was repulsed by him.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The woman gave the man her phone number. ''' Choice 1: She was attracted to him.
Choice 2: She was repulsed by him.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The woman gave the man her phone number. ''' Choice 1: She was attracted to him.
Choice 2: She was repulsed by him.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The administrator cleared her throat. ''' Choice 1: The meeting was postponed.
Choice 2: The meeting commenced.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The administrator cleared her throat. ''' Choice 1: The meeting was postponed.
Choice 2: The meeting commenced.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The administrator cleared her throat. ''' Choice 1: The meeting was postponed.
Choice 2: The meeting commenced.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The woman was mistaken for her sister. ''' Choice 1: The woman was close with her sister.
Choice 2: The woman looked like her sister.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The woman was mistaken for her sister. ''' Choice 1: The woman was close with her sister.
Choice 2: The woman looked like her sister.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The woman was mistaken for her sister. ''' Choice 1: The woman was close with her sister.
Choice 2: The woman looked like her sister.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The teacher caught the student chewing gum. ''' Choice 1: The gum stuck to the student's shoe.
Choice 2: The student spit out the gum.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The teacher caught the student chewing gum. ''' Choice 1: The gum stuck to the student's shoe.
Choice 2: The student spit out the gum.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The teacher caught the student chewing gum. ''' Choice 1: The gum stuck to the student's shoe.
Choice 2: The student spit out the gum.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The detective flashed his badge to the police officer. ''' Choice 1: The police officer confiscated the detective's badge.
Choice 2: The police officer let the detective enter the crime scene.
Q: Which one is more likely to be the effect, choice 1 or choice 2?","Consider the following premise: ''' The detective flashed his badge to the police officer. ''' Choice 1: The police officer confiscated the detective's badge.
Choice 2: The police officer let the detective enter the crime scene.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The detective flashed his badge to the police officer. ''' Choice 1: The police officer confiscated the detective's badge.
Choice 2: The police officer let the detective enter the crime scene.
Q: Which one is more likely to be the effect, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The man fell unconscious. ''' Choice 1: The assailant struck the man in the head.
Choice 2: The assailant took the man's wallet.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The man fell unconscious. ''' Choice 1: The assailant struck the man in the head.
Choice 2: The assailant took the man's wallet.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The man fell unconscious. ''' Choice 1: The assailant struck the man in the head.
Choice 2: The assailant took the man's wallet.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The driver slammed on his brakes. ''' Choice 1: A deer appeared on the road.
Choice 2: The car radio shut off.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The driver slammed on his brakes. ''' Choice 1: A deer appeared on the road.
Choice 2: The car radio shut off.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The driver slammed on his brakes. ''' Choice 1: A deer appeared on the road.
Choice 2: The car radio shut off.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The trip took a long time. ''' Choice 1:  The driver talked the whole way.
Choice 2: The driver made a wrong turn.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The trip took a long time. ''' Choice 1:  The driver talked the whole way.
Choice 2: The driver made a wrong turn.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The trip took a long time. ''' Choice 1:  The driver talked the whole way.
Choice 2: The driver made a wrong turn.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The mother scolded her daughter. ''' Choice 1: Her daughter burped at the kitchen table.
Choice 2: Her daughter set the kitchen table.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The mother scolded her daughter. ''' Choice 1: Her daughter burped at the kitchen table.
Choice 2: Her daughter set the kitchen table.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The mother scolded her daughter. ''' Choice 1: Her daughter burped at the kitchen table.
Choice 2: Her daughter set the kitchen table.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following premise: ''' The woman got away with the crime. ''' Choice 1: Her accomplice was apprehended.
Choice 2: She destroyed the evidence.
Q: Which one is more likely to be the cause, choice 1 or choice 2?","Consider the following premise: ''' The woman got away with the crime. ''' Choice 1: Her accomplice was apprehended.
Choice 2: She destroyed the evidence.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 1","Consider the following premise: ''' The woman got away with the crime. ''' Choice 1: Her accomplice was apprehended.
Choice 2: She destroyed the evidence.
Q: Which one is more likely to be the cause, choice 1 or choice 2?</s></s>choice 2",1,"['choice 1', 'choice 2']"
