log_prob_0,log_prob_1,higher_prob,label,calibrated
2.1679525,1.641347,0,1,0
2.5248907,0.9556093,0,0,1
2.0827198,0.6112772,0,1,0
1.736432,0.09176692,0,0,1
1.5274075,0.36398327,0,1,0
2.052064,-0.56855416,0,0,1
1.5157834,-0.40349174,0,0,1
1.8553618,0.8560316,0,1,0
1.8138008,0.6702584,0,1,0
2.3143096,1.4801166,0,1,0
2.4712358,0.21235058,0,0,1
1.9933659,0.7787285,0,0,1
2.2728972,1.2344263,0,0,1
2.0047216,0.5835953,0,0,1
2.1516938,0.9503108,0,1,0
1.4857035,0.15028393,0,0,1
0.8449328,-0.44991642,0,0,1
0.6662204,-0.24315518,0,0,1
2.055863,0.5093143,0,1,0
1.7474546,1.0932467,0,1,0
1.1602583,-0.14532767,0,0,1
0.7536886,-0.10028538,0,1,0
2.341381,1.4551874,0,1,0
1.6454922,1.3657186,0,1,0
1.7782335,1.3966434,0,1,0
2.155654,1.0261103,0,0,1
2.3735347,0.84878457,0,0,1
1.5886712,0.22630385,0,0,1
1.4573743,0.12231299,0,0,1
1.4563656,-0.18051644,0,0,1
1.7926723,1.383029,0,1,0
2.4896786,1.166229,0,0,1
2.180417,1.1740608,0,0,1
0.45400265,-0.9206192,0,0,1
2.3623328,-0.51091313,0,1,0
0.8767955,-0.73420566,0,0,1
1.4676565,-0.0016794801,0,1,0
2.2775922,1.2359743,0,0,1
1.5537996,-0.46229556,0,0,1
2.24432,1.0247015,0,1,0
1.9828902,0.21153785,0,1,0
1.8430783,1.7990415,0,1,0
2.1553185,0.44358993,0,0,1
1.1506788,0.103149,0,1,0
2.0880349,-0.27155012,0,0,1
1.8835733,0.76857996,0,0,1
1.6950467,0.23028983,0,1,0
0.5234554,-0.38615352,0,1,0
2.4266694,1.8878486,0,1,0
1.3641794,-0.11770922,0,0,1
0.7801337,-0.19430625,0,0,1
2.0970345,1.7824584,0,1,0
0.26717907,-0.38634717,0,0,1
1.9436088,0.48197544,0,0,1
2.0945027,0.71966875,0,0,1
1.9460738,0.8290694,0,1,0
0.81836617,-0.60999465,0,0,1
2.3439221,0.037659913,0,1,0
1.815633,0.78916377,0,1,0
1.7218351,1.6033721,0,1,0
1.9756945,0.8634813,0,0,1
2.3595264,1.0402396,0,0,1
1.8420882,1.3383316,0,1,0
0.3698723,-0.61621946,0,1,0
0.4966631,-0.5765743,0,0,1
2.1605587,0.052982673,0,0,1
2.1269445,-0.06559706,0,1,0
-0.34671485,-0.914598,0,1,0
1.465352,-0.49919772,0,1,0
1.9043152,1.590028,0,1,0
2.2464924,1.2291489,0,1,0
1.3963593,0.434003,0,1,0
1.1533592,0.32386944,0,1,0
1.9344063,1.1293519,0,0,1
2.4535742,1.1007938,0,1,0
0.2974416,-0.22929606,0,1,0
1.763909,-0.1438649,0,0,1
2.0382738,0.50696266,0,0,1
1.0794263,-0.84585756,0,0,1
2.2916915,0.37301952,0,0,1
1.8262084,-0.19973817,0,0,1
0.7505522,-0.7464404,0,0,1
2.2734487,1.3018167,0,0,1
2.0128121,-0.44017363,0,0,1
2.1390631,1.0144536,0,0,1
0.31242853,0.044487447,0,1,0
0.6539665,-0.8715582,0,0,1
2.0167928,0.46424562,0,1,0
1.9102931,0.54762864,0,0,1
2.3385487,1.635653,0,0,1
2.3204026,1.8665764,0,0,1
2.5212712,1.3784496,0,1,0
1.1252072,-0.46735308,0,0,1
1.9048392,1.2170523,0,1,0
1.7687259,-0.18833067,0,0,1
1.9222586,1.2760837,0,1,0
2.20424,0.8589837,0,0,1
1.4482878,0.30764854,0,1,0
1.7274679,0.60333806,0,0,1
2.5628724,1.7727151,0,1,0
1.004636,-0.5475875,0,1,0
2.0168746,0.63149315,0,0,1
0.21614674,-1.0005093,0,1,0
1.7884967,0.44428146,0,1,0
1.4610322,1.3881114,0,1,0
1.6001503,0.9771322,0,1,0
-0.3698053,-1.2043581,0,0,1
1.7203867,0.31942305,0,0,1
1.1432612,-0.821237,0,0,1
1.966253,0.097968504,0,0,1
2.712562,0.47718877,0,0,1
2.1075535,1.2545834,0,0,1
1.8820366,0.2206614,0,0,1
2.1891928,-0.10926056,0,0,1
1.7217962,0.7404642,0,1,0
2.570422,1.109454,0,0,1
2.3514585,1.5045372,0,0,1
1.3691264,0.6974101,0,1,0
2.4288254,0.7017424,0,0,1
1.4029902,-0.41530824,0,0,1
1.4752114,0.024076745,0,1,0
1.7250458,0.09187314,0,1,0
1.8803271,0.74888307,0,1,0
2.5220714,0.979516,0,0,1
2.1203294,1.563422,0,1,0
1.4571168,-0.11748034,0,1,0
2.2671561,0.5839183,0,1,0
1.768476,0.9440306,0,1,0
1.8757432,1.6490817,0,1,0
2.477241,0.73539126,0,0,1
0.1634427,-0.47208345,0,0,1
1.8053439,0.017417938,0,0,1
1.5827415,-0.33206266,0,0,1
1.9930775,0.25727725,0,1,0
2.3405428,1.1197563,0,0,1
0.81534195,-0.12794651,0,0,1
1.8171248,-0.02722457,0,0,1
0.06828517,-0.16734344,0,1,0
1.6363688,1.0910048,0,1,0
2.0816882,0.7896183,0,1,0
1.7362299,-0.08354762,0,1,0
2.16549,1.1947064,0,0,1
2.4463077,0.7214372,0,0,1
1.9506537,0.39940494,0,1,0
2.0384278,0.13195089,0,1,0
1.6552496,-0.16749679,0,1,0
1.4846582,0.31088582,0,1,0
1.3001254,0.35068175,0,1,0
2.3982105,1.4024678,0,0,1
1.9488568,-0.07630483,0,0,1
1.9816366,-0.46091956,0,0,1
0.7813914,-0.215054,0,1,0
2.0941095,0.8726096,0,0,1
2.0155382,0.72805256,0,1,0
2.057307,0.8267164,0,0,1
2.3200815,1.0029011,0,0,1
1.9922006,1.1908649,0,1,0
2.3777914,0.5512556,0,0,1
