log_prob_0,log_prob_1,higher_prob,label,calibrated
0.7919191,1.3212526,1,1,1
-0.28328186,-0.3114407,0,1,0
1.331775,-0.120887965,0,0,1
0.6195704,-0.84462416,0,0,1
0.33903614,0.14855397,0,0,1
-0.60622907,-0.10493386,1,1,1
0.8191578,0.83590204,1,0,0
0.05931902,-0.68658197,0,0,1
-0.97800684,-1.2813493,0,0,1
0.8088209,0.20872223,0,0,1
-1.244746,0.55921173,1,1,1
-1.3115454,-1.0568511,1,1,1
-0.33454403,-0.53849155,0,1,0
-0.61528844,-0.68748015,0,0,1
1.3552932,-0.009164989,0,0,1
0.40600282,-0.115703106,0,0,1
-3.6731975,-4.18958,0,0,1
0.47841388,0.51596075,1,1,1
1.0939903,0.1606015,0,0,1
0.37611163,0.41808695,1,1,1
-2.7686162,-3.0926096,0,0,1
0.27304983,0.056713343,0,1,0
-0.2368808,0.94040483,1,1,1
-0.5609545,0.15541339,1,1,1
1.0756872,-0.46629208,0,0,1
1.2087606,0.9231407,0,0,1
0.5777253,0.015596658,0,0,1
1.5178593,-0.24572515,0,0,1
-0.036763787,0.35026556,1,1,1
1.2026273,0.6119094,0,0,1
-3.4750543,-3.6159806,0,1,0
-0.3410321,0.37413153,1,1,1
1.5566632,0.35375708,0,0,1
1.7268262,1.9996718,1,1,1
-0.6577294,0.22869599,1,1,1
-1.1049011,-1.0935313,1,1,1
0.24215776,0.42245224,1,1,1
0.7954853,0.3288295,0,0,1
0.5693759,0.7895638,1,1,1
0.23769748,0.76452506,1,1,1
-1.4689832,-1.350939,1,1,1
0.14470392,0.45600033,1,1,1
0.8849231,0.0669691,0,1,0
-1.8887669,-1.8876673,1,1,1
0.601475,0.6717144,1,1,1
-0.4015515,0.07729924,1,1,1
-1.3648045,-1.1428568,1,1,1
1.6347096,-0.30374634,0,0,1
-1.5572667,-2.0220962,0,0,1
-0.77909774,-0.98133266,0,1,0
1.332429,0.76648724,0,0,1
0.71419805,0.014704227,0,0,1
1.0966257,0.3859763,0,0,1
1.23335,-0.52627987,0,0,1
-1.0216657,-1.35979,0,0,1
-0.11146814,0.80387175,1,1,1
1.0104377,1.052392,1,1,1
-0.38986108,0.36592853,1,1,1
-0.75533694,-0.58341545,1,1,1
-3.7719674,-3.6310399,1,1,1
-0.0878008,1.0844388,1,1,1
-0.75587,-0.517587,1,1,1
-0.75678766,-1.1250608,0,1,0
0.20118985,0.2719791,1,0,0
1.3398255,0.12661809,0,0,1
-0.0019907951,-0.7166208,0,0,1
-0.7065463,0.2009395,1,1,1
0.76654005,0.70003825,0,1,0
1.2419403,0.5201272,0,0,1
0.95246506,-0.14467221,0,0,1
