null,0,1,label,selection
"CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out. Using only the above description and what you know about the world, is ""Eljvir Duka comes from Albania."" definitely correct? Yes or no?","CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out. Using only the above description and what you know about the world, is ""Eljvir Duka comes from Albania."" definitely correct? Yes or no?</s></s>Yes","CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out. Using only the above description and what you know about the world, is ""Eljvir Duka comes from Albania."" definitely correct? Yes or no?</s></s>No",0,"['Yes', 'No']"
"In sub-Saharan Africa about one in every 30 people is infected with HIV. Using only the above description and what you know about the world, is ""30% of the people infected with HIV live in Africa."" definitely correct? Yes or no?","In sub-Saharan Africa about one in every 30 people is infected with HIV. Using only the above description and what you know about the world, is ""30% of the people infected with HIV live in Africa."" definitely correct? Yes or no?</s></s>Yes","In sub-Saharan Africa about one in every 30 people is infected with HIV. Using only the above description and what you know about the world, is ""30% of the people infected with HIV live in Africa."" definitely correct? Yes or no?</s></s>No",1,"['Yes', 'No']"
"Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded. Using only the above description and what you know about the world, is ""Juan Carlos Lecompte is the founder of the Green Oxygen Party."" definitely correct? Yes or no?","Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded. Using only the above description and what you know about the world, is ""Juan Carlos Lecompte is the founder of the Green Oxygen Party."" definitely correct? Yes or no?</s></s>Yes","Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded. Using only the above description and what you know about the world, is ""Juan Carlos Lecompte is the founder of the Green Oxygen Party."" definitely correct? Yes or no?</s></s>No",1,"['Yes', 'No']"
"President Alvaro Uribe was sworn into his second term of office in the Colombian capital of Bogota, Monday, pledging to improve the economy and make peace with FARC (Revolutionary Armed Forces of Colombia) rebels. Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20. Police reported deactivating a car bomb outside of the capital on Monday. Using only the above description and what you know about the world, is ""Alvaro Uribe is the current President of Colombia."" definitely correct? Yes or no?","President Alvaro Uribe was sworn into his second term of office in the Colombian capital of Bogota, Monday, pledging to improve the economy and make peace with FARC (Revolutionary Armed Forces of Colombia) rebels. Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20. Police reported deactivating a car bomb outside of the capital on Monday. Using only the above description and what you know about the world, is ""Alvaro Uribe is the current President of Colombia."" definitely correct? Yes or no?</s></s>Yes","President Alvaro Uribe was sworn into his second term of office in the Colombian capital of Bogota, Monday, pledging to improve the economy and make peace with FARC (Revolutionary Armed Forces of Colombia) rebels. Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20. Police reported deactivating a car bomb outside of the capital on Monday. Using only the above description and what you know about the world, is ""Alvaro Uribe is the current President of Colombia."" definitely correct? Yes or no?</s></s>No",0,"['Yes', 'No']"
"The first person to be stopped at an international airport because of unpaid fines happened yesterday afternoon (NZDT) at the Auckland International Airport, New Zealand. The person, who wasn't named, was stopped because of the new legislation called the 'Collection of Fines at Airports' or more simply: Pay or Stay. He was forced to pay NZ$3,750 in unpaid reparations since 1986. ""The person intercepted owed $3,750 of reparation for an offence in 1986 and had made no payments since late 1987,"" said Rick Barker, minister for the courts in New Zealand. Using only the above description and what you know about the world, is ""A person was stopped at an airport because of unpaid fines."" definitely correct? Yes or no?","The first person to be stopped at an international airport because of unpaid fines happened yesterday afternoon (NZDT) at the Auckland International Airport, New Zealand. The person, who wasn't named, was stopped because of the new legislation called the 'Collection of Fines at Airports' or more simply: Pay or Stay. He was forced to pay NZ$3,750 in unpaid reparations since 1986. ""The person intercepted owed $3,750 of reparation for an offence in 1986 and had made no payments since late 1987,"" said Rick Barker, minister for the courts in New Zealand. Using only the above description and what you know about the world, is ""A person was stopped at an airport because of unpaid fines."" definitely correct? Yes or no?</s></s>Yes","The first person to be stopped at an international airport because of unpaid fines happened yesterday afternoon (NZDT) at the Auckland International Airport, New Zealand. The person, who wasn't named, was stopped because of the new legislation called the 'Collection of Fines at Airports' or more simply: Pay or Stay. He was forced to pay NZ$3,750 in unpaid reparations since 1986. ""The person intercepted owed $3,750 of reparation for an offence in 1986 and had made no payments since late 1987,"" said Rick Barker, minister for the courts in New Zealand. Using only the above description and what you know about the world, is ""A person was stopped at an airport because of unpaid fines."" definitely correct? Yes or no?</s></s>No",0,"['Yes', 'No']"
"The compilers of the OED point out that they merely record the description of how the word is used, rather than prescribe how it should be used. The term, McJob, has been in usage at least 20 years, they say. It was popularised in 1991 in Douglas Coupland's novel Generation X: Tales for an Accelerated Culture as one of the margin definitions. Here it was described as ""a low-pay, low-prestige, low-dignity, low benefit, no-future job in the service sector. Frequently considered a satisfying career choice by people who have never held one."" Using only the above description and what you know about the world, is ""A ""McJob"" is a low-paid job."" definitely correct? Yes or no?","The compilers of the OED point out that they merely record the description of how the word is used, rather than prescribe how it should be used. The term, McJob, has been in usage at least 20 years, they say. It was popularised in 1991 in Douglas Coupland's novel Generation X: Tales for an Accelerated Culture as one of the margin definitions. Here it was described as ""a low-pay, low-prestige, low-dignity, low benefit, no-future job in the service sector. Frequently considered a satisfying career choice by people who have never held one."" Using only the above description and what you know about the world, is ""A ""McJob"" is a low-paid job."" definitely correct? Yes or no?</s></s>Yes","The compilers of the OED point out that they merely record the description of how the word is used, rather than prescribe how it should be used. The term, McJob, has been in usage at least 20 years, they say. It was popularised in 1991 in Douglas Coupland's novel Generation X: Tales for an Accelerated Culture as one of the margin definitions. Here it was described as ""a low-pay, low-prestige, low-dignity, low benefit, no-future job in the service sector. Frequently considered a satisfying career choice by people who have never held one."" Using only the above description and what you know about the world, is ""A ""McJob"" is a low-paid job."" definitely correct? Yes or no?</s></s>No",0,"['Yes', 'No']"
"The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries. Using only the above description and what you know about the world, is ""The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries."" definitely correct? Yes or no?","The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries. Using only the above description and what you know about the world, is ""The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries."" definitely correct? Yes or no?</s></s>Yes","The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries. Using only the above description and what you know about the world, is ""The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries."" definitely correct? Yes or no?</s></s>No",0,"['Yes', 'No']"
"On Friday evening, a car bomb exploded outside a Shiite mosque in Iskandariyah, 30 miles south of the capital, killing seven people and wounding 10, doctors said on condition of anonymity. Using only the above description and what you know about the world, is ""The car bomb at the mosque in Iskandariyah exploded."" definitely correct? Yes or no?","On Friday evening, a car bomb exploded outside a Shiite mosque in Iskandariyah, 30 miles south of the capital, killing seven people and wounding 10, doctors said on condition of anonymity. Using only the above description and what you know about the world, is ""The car bomb at the mosque in Iskandariyah exploded."" definitely correct? Yes or no?</s></s>Yes","On Friday evening, a car bomb exploded outside a Shiite mosque in Iskandariyah, 30 miles south of the capital, killing seven people and wounding 10, doctors said on condition of anonymity. Using only the above description and what you know about the world, is ""The car bomb at the mosque in Iskandariyah exploded."" definitely correct? Yes or no?</s></s>No",0,"['Yes', 'No']"
"Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government."" Using only the above description and what you know about the world, is ""Hossam Zaki is the new Foreign Minister of Israel."" definitely correct? Yes or no?","Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government."" Using only the above description and what you know about the world, is ""Hossam Zaki is the new Foreign Minister of Israel."" definitely correct? Yes or no?</s></s>Yes","Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government."" Using only the above description and what you know about the world, is ""Hossam Zaki is the new Foreign Minister of Israel."" definitely correct? Yes or no?</s></s>No",1,"['Yes', 'No']"
"Claes denied categorically that they had ever known of the existence of an Agusta proposal, and told the NATO ambassadors that he did not know anything about an Agusta payment to the Socialist Party. Using only the above description and what you know about the world, is ""NATO Secretary General Willy Claes resigned."" definitely correct? Yes or no?","Claes denied categorically that they had ever known of the existence of an Agusta proposal, and told the NATO ambassadors that he did not know anything about an Agusta payment to the Socialist Party. Using only the above description and what you know about the world, is ""NATO Secretary General Willy Claes resigned."" definitely correct? Yes or no?</s></s>Yes","Claes denied categorically that they had ever known of the existence of an Agusta proposal, and told the NATO ambassadors that he did not know anything about an Agusta payment to the Socialist Party. Using only the above description and what you know about the world, is ""NATO Secretary General Willy Claes resigned."" definitely correct? Yes or no?</s></s>No",1,"['Yes', 'No']"
"In 1969, more than 500 million people around the world sat in front of television sets, watching grainy images of two men in white bulky spacesuits planting a U.S. flag on the lunar landscape with its black horizon. Using only the above description and what you know about the world, is ""The Apollo astronauts waved the American flag on the moon in 1969."" definitely correct? Yes or no?","In 1969, more than 500 million people around the world sat in front of television sets, watching grainy images of two men in white bulky spacesuits planting a U.S. flag on the lunar landscape with its black horizon. Using only the above description and what you know about the world, is ""The Apollo astronauts waved the American flag on the moon in 1969."" definitely correct? Yes or no?</s></s>Yes","In 1969, more than 500 million people around the world sat in front of television sets, watching grainy images of two men in white bulky spacesuits planting a U.S. flag on the lunar landscape with its black horizon. Using only the above description and what you know about the world, is ""The Apollo astronauts waved the American flag on the moon in 1969."" definitely correct? Yes or no?</s></s>No",0,"['Yes', 'No']"
"Gen. Maza Marquez said that the fact that a payment is being offered for the capture of Pablo Escobar does not mean that other persons accused of being capos of the mafia are not being sought, and that if anyone being held in connection with the investigation of the killing of Luis Carlos Galan is released, that does not mean that the investigations are not proceeding well. Using only the above description and what you know about the world, is ""Luis was killed by the capos of the mafia."" definitely correct? Yes or no?","Gen. Maza Marquez said that the fact that a payment is being offered for the capture of Pablo Escobar does not mean that other persons accused of being capos of the mafia are not being sought, and that if anyone being held in connection with the investigation of the killing of Luis Carlos Galan is released, that does not mean that the investigations are not proceeding well. Using only the above description and what you know about the world, is ""Luis was killed by the capos of the mafia."" definitely correct? Yes or no?</s></s>Yes","Gen. Maza Marquez said that the fact that a payment is being offered for the capture of Pablo Escobar does not mean that other persons accused of being capos of the mafia are not being sought, and that if anyone being held in connection with the investigation of the killing of Luis Carlos Galan is released, that does not mean that the investigations are not proceeding well. Using only the above description and what you know about the world, is ""Luis was killed by the capos of the mafia."" definitely correct? Yes or no?</s></s>No",1,"['Yes', 'No']"
"The memo, written by Marc Allen Connelly (who was general counsel to the funeral services commission at the time) and sent to Dick McNeil (the Bush-appointed chairman of the funeral commission) stated that Connelly ""received information"" from Texas state officials that two of the funeral commissioners worked for SCI. Using only the above description and what you know about the world, is ""Dick McNeil was an employee of Bush."" definitely correct? Yes or no?","The memo, written by Marc Allen Connelly (who was general counsel to the funeral services commission at the time) and sent to Dick McNeil (the Bush-appointed chairman of the funeral commission) stated that Connelly ""received information"" from Texas state officials that two of the funeral commissioners worked for SCI. Using only the above description and what you know about the world, is ""Dick McNeil was an employee of Bush."" definitely correct? Yes or no?</s></s>Yes","The memo, written by Marc Allen Connelly (who was general counsel to the funeral services commission at the time) and sent to Dick McNeil (the Bush-appointed chairman of the funeral commission) stated that Connelly ""received information"" from Texas state officials that two of the funeral commissioners worked for SCI. Using only the above description and what you know about the world, is ""Dick McNeil was an employee of Bush."" definitely correct? Yes or no?</s></s>No",1,"['Yes', 'No']"
